Rank,Keyword,Count
1,https://jpsearch.go.jp/term/keyword/d,137
2,https://jpsearch.go.jp/term/keyword/本草,48
3,https://jpsearch.go.jp/term/keyword/伝記,41
4,https://jpsearch.go.jp/term/keyword/魚介,26
5,https://jpsearch.go.jp/term/keyword/植物,26
6,https://jpsearch.go.jp/term/keyword/動物,20
7,https://jpsearch.go.jp/term/keyword/歴史,18
8,https://jpsearch.go.jp/term/keyword/語学,15
9,https://jpsearch.go.jp/term/keyword/軍事・工学・産業・芸術--芸術_美術・音楽・体育・諸芸,14
10,https://jpsearch.go.jp/term/keyword/藩主--系譜,14
11,https://jpsearch.go.jp/term/keyword/医学,13
12,https://jpsearch.go.jp/term/keyword/馬術,13
13,https://jpsearch.go.jp/term/keyword/画譜,12
14,https://jpsearch.go.jp/term/keyword/花道,11
15,https://jpsearch.go.jp/term/keyword/芸術--書画--総記,10
16,https://jpsearch.go.jp/term/keyword/絵手本,9
17,https://jpsearch.go.jp/term/keyword/薬物,9
18,https://jpsearch.go.jp/term/keyword/記録,9
19,https://jpsearch.go.jp/term/keyword/茶道,8
20,https://jpsearch.go.jp/term/keyword/絵本番附_操芝居,8
21,https://jpsearch.go.jp/term/keyword/歴史--日本史--系譜,8
22,https://jpsearch.go.jp/term/keyword/絵画,7
23,https://jpsearch.go.jp/term/keyword/書道,7
24,https://jpsearch.go.jp/term/keyword/役者評判記,6
25,https://jpsearch.go.jp/term/keyword/芸術--絵画--日本画,6
26,https://jpsearch.go.jp/term/keyword/漢詩文,5
27,https://jpsearch.go.jp/term/keyword/地誌,5
28,https://jpsearch.go.jp/term/keyword/戦記,5
29,https://jpsearch.go.jp/term/keyword/囲碁,5
30,https://jpsearch.go.jp/term/keyword/絵本,4
31,https://jpsearch.go.jp/term/keyword/総記--叢書・全集,4
32,https://jpsearch.go.jp/term/keyword/俳諧,4
33,https://jpsearch.go.jp/term/keyword/印章,4
34,https://jpsearch.go.jp/term/keyword/歴史--系譜,4
35,https://jpsearch.go.jp/term/keyword/武学・武術--武具--刀剣,4
36,https://jpsearch.go.jp/term/keyword/工芸,3
37,https://jpsearch.go.jp/term/keyword/書画,3
38,https://jpsearch.go.jp/term/keyword/歴史・地理--伝記,3
39,https://jpsearch.go.jp/term/keyword/金工,3
40,https://jpsearch.go.jp/term/keyword/日記,3
41,https://jpsearch.go.jp/term/keyword/歴史--伝記,3
42,https://jpsearch.go.jp/term/keyword/香道,3
43,https://jpsearch.go.jp/term/keyword/絵本番附,3
44,https://jpsearch.go.jp/term/keyword/国書--芸術--書画・音楽,3
45,https://jpsearch.go.jp/term/keyword/芸術--工芸,3
46,https://jpsearch.go.jp/term/keyword/貨幣,3
47,https://jpsearch.go.jp/term/keyword/総記--叢書,3
48,https://jpsearch.go.jp/term/keyword/諸芸--遊技・遊戯,3
49,https://jpsearch.go.jp/term/keyword/総記--随叢--雑編音楽・演劇--雑,3
50,https://jpsearch.go.jp/term/keyword/諸芸--茶道,3
51,https://jpsearch.go.jp/term/keyword/遊女絵本,2
52,https://jpsearch.go.jp/term/keyword/風俗絵本,2
53,https://jpsearch.go.jp/term/keyword/花鳥画,2
54,https://jpsearch.go.jp/term/keyword/絵画--画譜類,2
55,https://jpsearch.go.jp/term/keyword/島原藩,2
56,https://jpsearch.go.jp/term/keyword/伝記--人名録類,2
57,https://jpsearch.go.jp/term/keyword/芸術・美術--花道,2
58,https://jpsearch.go.jp/term/keyword/文学--歌謡,2
59,https://jpsearch.go.jp/term/keyword/芸術--茶道・香道,2
60,https://jpsearch.go.jp/term/keyword/演劇_絵本,2
61,https://jpsearch.go.jp/term/keyword/文学・語学--小説・戯曲・戯文,2
62,https://jpsearch.go.jp/term/keyword/自然科学--薬学--本草学,2
63,https://jpsearch.go.jp/term/keyword/産業--花卉園芸,2
64,https://jpsearch.go.jp/term/keyword/近世刊本--芸術--絵画--書道_書画,2
65,https://jpsearch.go.jp/term/keyword/国書--法制・経済--経済,2
66,https://jpsearch.go.jp/term/keyword/国書--兵事・武技--武器,2
67,https://jpsearch.go.jp/term/keyword/国書--産業・科学--医学,2
68,https://jpsearch.go.jp/term/keyword/一般図書--語学,2
69,https://jpsearch.go.jp/term/keyword/国書--美術・諸芸--花押・印章,2
70,https://jpsearch.go.jp/term/keyword/総記--歴史,2
71,https://jpsearch.go.jp/term/keyword/漢文,2
72,https://jpsearch.go.jp/term/keyword/花押,2
73,https://jpsearch.go.jp/term/keyword/典籍--和漢書,2
74,https://jpsearch.go.jp/term/keyword/歴史--日本史,2
75,https://jpsearch.go.jp/term/keyword/地理--外国地誌--世界誌,2
76,https://jpsearch.go.jp/term/keyword/経済--度量衡・貨幣,2
77,https://jpsearch.go.jp/term/keyword/医学--漢方--本草--薬性附食治,2
78,https://jpsearch.go.jp/term/keyword/仏教_伝記,2
79,https://jpsearch.go.jp/term/keyword/芸術--書道--文房具,2
80,https://jpsearch.go.jp/term/keyword/国書--武学・武術--馬術,2
81,https://jpsearch.go.jp/term/keyword/哲学--仏教--浄土宗,2
82,https://jpsearch.go.jp/term/keyword/漢詩,2
83,https://jpsearch.go.jp/term/keyword/芸術・美術--工芸--金工芸・刀剣・甲冑,2
84,https://jpsearch.go.jp/term/keyword/無量寿経教系--宗派,2
85,https://jpsearch.go.jp/term/keyword/社会科学--学習指導_教科課程--教科書,2
86,https://jpsearch.go.jp/term/keyword/風俗,1
87,https://jpsearch.go.jp/term/keyword/魚介画,1
88,https://jpsearch.go.jp/term/keyword/動物画,1
89,https://jpsearch.go.jp/term/keyword/絵手本_山水,1
90,https://jpsearch.go.jp/term/keyword/図案,1
