Rank,Bi-gram,Bi-Count,Tri-gram,Tri-Count,Tetra-gram,Tetra-Count,Penta-gram,Penta-Count
1,曲譜,186,平曲譜,79,平曲譜本,77,宇津保物語,60
2,略譜,168,曲譜本,79,宇津保物,60,錦窠禾本譜,51
3,琴譜,162,宇津保,60,津保物語,60,撫箏雅譜集,32
4,楽譜,143,津保物,60,錦窠禾本,51,津保物語第,30
5,名譜,132,保物語,60,窠禾本譜,51,:宇津保物,30
6,譜略,107,催馬楽,57,撫箏雅譜,40,六調子曲譜,29
7,物語,95,錦窠禾,51,六調子曲,36,織田信長譜,28
8,錦窠,92,窠禾本,51,金生樹譜,33,錦窠羊歯譜,27
9,平曲,87,禾本譜,51,箏雅譜集,32,窠禾本譜2,26
10,譜本,84,仮名譜,50,保物語第,30,禾本譜23,26
11,音楽,83,目八譜,49,:宇津保,30,本譜23巻,26
12,譜2,80,鳳笙譜,45,八雲琴譜,29,譜23巻付,26
13,竜笛,76,撫箏雅,41,調子曲譜,29,23巻付2,26
14,笛譜,75,箏雅譜,40,織田信長,28,3巻付2巻,26
15,琵琶,71,六調子,40,田信長譜,28,譜嫁入雛形,21
16,催馬,69,蘇合香,36,金工名譜,28,江都金工名,17
17,仮名,66,調子曲,36,錦窠羊歯,27,都金工名譜,17
18,鳳笙,66,／他四,36,窠羊歯譜,27,金生樹譜別,17
19,謡本,65,雅譜集,35,禾本譜2,26,生樹譜別録,17
20,箏譜,64,金生樹,33,本譜23,26,粟嶋譜嫁入,16
21,本譜,63,生樹譜,33,譜23巻,26,嶋譜嫁入雛,16
22,笙譜,61,工名譜,31,23巻付,26,竜笛仮名譜,16
23,調子,61,物語第,30,3巻付2,26,竜笛要録譜,15
24,宇津,60,:宇津,30,巻付2巻,26,暗射指南譜,14
25,津保,60,信長譜,30,鏨工譜略,24,大窪動物譜,12
26,保物,60,八雲琴,30,東皐琴譜,23,書画人名譜,12
27,譜／,57,鏨工譜,30,どどいつ,23,書画落款譜,12
28,馬楽,57,古瓦譜,29,譜嫁入雛,21,'北平牋譜,12
29,御譜,55,雅楽譜,29,嫁入雛形,21,保物語第１,11
30,役者,54,雲琴譜,29,吾嬬箏譜,20,上:宇津保,11
31,日本,53,子曲譜,29,譜伝実録,20,保物語第２,11
32,3巻,53,織田信,28,和漢研譜,19,下:宇津保,11
33,之譜,53,田信長,28,江都金工,17,梅山種茶譜,11
34,八譜,52,金工名,28,都金工名,17,皇帝破陣楽,11
35,雅譜,52,錦窠羊,27,生樹譜別,17,康濟譜25,11
36,秘譜,51,窠羊歯,27,樹譜別録,17,濟譜25卷,11
37,窠禾,51,羊歯譜,27,笛要録譜,17,帝王譜略国,11
38,禾本,51,琵琶譜,27,竜笛仮名,17,王譜略国朝,11
39,目八,49,万秋楽,26,笛仮名譜,17,［森寺温故,11
40,譜集,47,本譜2,26,〔謡本〕,17,森寺温故］,11
41,譜》,46,譜23,26,粟嶋譜嫁,16,寺温故］森,11
42,2巻,44,23巻,26,嶋譜嫁入,16,温故］森寺,11
43,神楽,44,3巻付,26,竜笛要録,15,故］森寺藩,11
44,篳篥,43,巻付2,26,帝王譜略,15,］森寺藩臣,11
45,合戦,42,付2巻,26,目八譜第,15,森寺藩臣譜,11
46,撫箏,42,謡本〕,26,けいせい,15,寺藩臣譜系,11
47,六調,42,善御譜,25,暗射指南,14,譜伝実録1,11
48,箏雅,41,篳篥譜,24,射指南譜,14,釋迦譜要略,10
49,本〕,41,工譜略,24,催馬楽譜,14,山種茶譜略,10
50,歌譜,40,躑躅譜,23,廓中艶譜,13,菅原伝授手,10
51,蘇合,39,東皐琴,23,帝皇略譜,13,原伝授手習,10
52,／他,39,皐琴譜,23,魏氏楽譜,13,伝授手習鑑,10
53,雅楽,36,どどい,23,大坪本流,13,古梅園墨譜,10
54,合香,36,どいつ,23,森寺温故,13,弘法大師弟,10
55,高麗,36,帝王譜,21,世流謡本,13,法大師弟子,10
56,子曲,36,指南譜,21,大窪動物,12,大師弟子譜,10
57,他四,36,譜嫁入,21,窪動物譜,12,蘇合香万秋,10
58,うた,35,嫁入雛,21,柳営譜略,12,合香万秋楽,10
59,樹譜,34,入雛形,21,説文解字,12,つましるし,10
60,子譜,34,家略譜,20,よしこの,12,譜略国朝紀,10
61,工譜,34,要録譜,20,書画人名,12,大坪本流善,10
62,案譜,34,笛仮名,20,画人名譜,12,坪本流善御,10
63,律呂,34,吾嬬箏,20,書画落款,12,本流善御譜,10
64,金生,33,嬬箏譜,20,画落款譜,12,本朝尊卑分,10
65,生樹,33,譜伝実,20,音楽問答,12,朝尊卑分脈,10
66,指南,33,伝実録,20,律呂新書,12,尊卑分脈1,10
67,問答,33,譜別録,19,'北平牋,12,卑分脈10,10
68,研譜,32,和漢研,19,北平牋譜,12,分脈10巻,10
69,茶譜,32,漢研譜,19,迦譜要略,11,北詞広正譜,10
70,物譜,31,神楽歌,19,物語第１,11,詞広正譜巻,10
71,樂譜,31,東音譜,19,上:宇津,11,名手本忠臣,9
72,織田,31,譜3巻,18,物語第２,11,清書画人名,9
73,長譜,31,譜2卷,18,下:宇津,11,救荒本草救,9
74,目録,31,太平記,18,梅山種茶,11,荒本草救荒,9
75,工名,31,浄瑠璃,18,山種茶譜,11,本草救荒埜,9
76,瓦譜,31,竜笛要,18,玉堂琴譜,11,草救荒埜譜,9
77,八雲,31,竜笛仮,18,皇帝破陣,11,救荒埜譜巻,9
78,要録,31,調曲譜,18,帝破陣楽,11,荒埜譜巻之,9
79,音譜,31,〔謡本,18,錦窠蟹譜,11,韻勝園梅譜,8
80,語第,30,人参譜,17,康濟譜2,11,躑躅譜3巻,8
81,:宇,30,譜2巻,17,濟譜25,11,無間鐘梅枝,8
82,大成,30,江都金,17,譜25卷,11,間鐘梅枝伝,8
83,信長,30,都金工,17,紫巌譜略,11,鐘梅枝伝譜,8
84,雲琴,30,樹譜別,17,王譜略国,11,撫箏雅譜大,8
85,鏨工,30,節正本,17,譜略国朝,11,箏雅譜大成,8
86,舞譜,30,和琴譜,17,流善御譜,11,雅譜大成抄,8
87,古瓦,29,笛要録,17,［森寺温,11,米庵蔵筆譜,8
88,要略,28,諸菜譜,17,寺温故］,11,説文解字五,8
89,新撰,28,壱越調,17,温故］森,11,文解字五音,8
90,譜代,28,草木譜,17,故］森寺,11,解字五音韻,8
91,田信,28,魚貝譜,16,］森寺藩,11,字五音韻譜,8
92,金工,28,粟嶋譜,16,森寺藩臣,11,奥州安達原,8
93,秋楽,28,嶋譜嫁,16,寺藩臣譜,11,小野道風青,8
94,篥譜,28,譜巻之,16,藩臣譜系,11,野道風青柳,8
95,歴代,28,いせい,16,伝実録1,11,道風青柳硯,8
96,本朝,28,流謡本,16,釋迦譜要,10,大津絵ぶし,8
97,伝授,28,仮面譜,15,葵氏艶譜,10,どどいつ・,8
98,太鼓,28,人名譜,15,種茶譜略,10,神楽催馬楽,8
99,横笛,28,盤渉調,15,梅枝伝譜,10,大坂新町遊,8
100,いつ,28,王譜略,15,手本忠臣,10,坂新町遊女,8
101,朗詠,28,楽問答,15,菅原伝授,10,新町遊女名,8
102,古今,28,八譜第,15,原伝授手,10,町遊女名譜,8
103,の段,28,けいせ,15,伝授手習,10,觀世流謡本,8
104,菜譜,27,工尺譜,15,授手習鑑,10,江増写真譜,8
105,窠羊,27,園墨譜,14,古梅園墨,10,蘇合香一具,7
106,羊歯,27,竜笛譜,14,梅園墨譜,10,帝破陣楽団,7
107,歯譜,27,10巻,14,弘法大師,10,破陣楽団乱,7
108,琶譜,27,暗射指,14,法大師弟,10,陣楽団乱旋,7
109,書画,27,射指南,14,大師弟子,10,譜代家督留,7
110,草木,26,魏氏楽,14,師弟子譜,10,五知齋琴譜,7
111,木譜,26,象棋譜,14,蘇合香万,10,知齋琴譜8,7
