Root,TotalCount,Variations,Examples
画譜,2118,389,"北斎画譜(57), 文鳳画譜(49), 倭人物画譜(45), 名家画譜(39), 名数画譜(39)..."
家譜,1714,459,"寛政重修諸家譜(684), 黒田家譜(66), 家譜(38), 鎌倉将軍家譜(32), 京都将軍家譜(32)..."
系譜,1703,670,"諸士系譜(344), 諸家系譜(185), 系譜(74), 御系譜(65), 諸系譜(38)..."
図譜,912,170,"本草図譜(460), 有職図譜(31), 本草綱目啓蒙図譜(26), 草木花実写真図譜(21), 更紗図譜(13)..."
年譜,849,436,"年譜(48), 御年譜(34), 井伊年譜(23), 藤樹先生年譜(20), 白香山年譜(20)..."
印譜,792,417,"印譜(75), 博愛堂集古印譜(49), 絵本問屋印譜(43), 寿石印譜(22), 崋山印譜(12)..."
魚譜,273,32,"錦窠魚譜(65), 栗氏魚譜(47), 日東魚譜(46), 魚譜(25), 春山魚譜(23)..."
花譜,186,37,"梅園草木花譜(55), 花譜(45), 牡丹花譜(7), 屋漏堂花譜(7), 桜花譜(6)..."
曲譜,186,52,"平曲譜(78), 六調子曲譜(28), 郢曲譜(6), 盤渉調曲譜(5), 曲譜(5)..."
畫譜,183,91,"新鐫六言唐詩畫譜(9), 新鐫七言唐詩畫譜(8), 唐解元倣古今畫譜(8), 新鐫五言唐詩畫譜(8), 十竹齋書畫譜(6)..."
禽譜,172,20,"禽譜(49), 錦窠禽譜(47), 水谷禽譜(26), 觀文禽譜(9), 啓蒙禽譜(7)..."
琴譜,156,35,"琴譜(34), 八雲琴譜(25), 東皐琴譜(23), 和琴譜(16), 玉堂琴譜(11)..."
楽譜,143,45,"雅楽譜(29), 楽譜(21), 魏氏楽譜(13), 新撰楽譜(8), 催馬楽譜(8)..."
竹譜,131,21,"竹譜(34), 桂園竹譜(26), 錦窠竹譜(17), 李用雲竹譜(16), 梅道人墨竹譜(7)..."
虫譜,126,12,"虫譜(39), 千虫譜(31), 栗氏千虫譜(21), 栗氏虫譜(12), 水谷虫譜(11)..."
銭譜,115,32,"西洋銭譜(22), 国家金銀銭譜(19), 寛永銭譜(15), 銭譜(8), 國家金銀銭譜(5)..."
菌譜,104,14,"菌譜(40), 錦窠菌譜(27), 信陽菌譜(9), 坂本浩然菌譜(9), 温故斎菌譜(5)..."
族譜,94,27,"江都卞氏族譜(31), 毘陵沙氏族譜(7), 竹朱氏族譜(7), 芝陽王氏族譜(5), 休寧西門汪氏族譜(5)..."
圖譜,89,38,"宋淳煕敕編古玉圖譜(18), 塡詞圖譜(8), 本草圖譜(6), 萬象寫眞圖譜(5), 本草綱目啓蒙圖譜(4)..."
笛譜,74,33,"笛譜(14), 横笛譜(12), 竜笛譜(8), 龍笛譜(4), 秦曲笛譜(3)..."
世譜,74,40,"中山世譜(13), 正燈世譜(10), 竜宝山大徳禅寺世譜(6), 武口王氏統宗世譜(4), 世譜(3)..."
