Word,Count
平曲譜,78
錦窠禾本譜,51
目八譜,49
琴譜,40
撫箏雅譜,33
金生樹譜,32
鏨工譜,30
雅楽譜,29
織田信長譜,28
六調子曲譜,28
鳳笙譜,28
錦窠羊歯譜,27
八雲琴譜,25
古瓦譜,23
東皐琴譜,23
躑躅譜,21
楽譜,21
琵琶譜,20
吾嬬箏譜,20
和漢研譜,19
帝王譜,18
東音譜,18
人参譜,17
紙譜,17
江都金工名譜,17
諸菜譜,17
魚貝譜,16
粟嶋譜,16
和琴譜,16
竜笛仮名譜,16
篳篥譜,15
笛譜,14
竜笛要録譜,14
印籠譜,13
廓中艶譜,13
仮面譜,13
帝皇略譜,13
魏氏楽譜,13
箏譜,13
大窪動物譜,12
史譜,12
柳営譜,12
横笛譜,12
北平牋譜,12
封筒譜,11
梅山種茶譜,11
桜譜,11
玉堂琴譜,11
錦窠蟹譜,11
康濟譜,11
紫巌譜,11
善御譜,11
御譜,11
森寺藩臣譜,11
葵氏艶譜,10
暗射指南譜,10
古梅園墨譜,10
弘法大師弟子譜,10
大坪本流善御譜,10
北詞広正譜,10
菜譜,9
神器譜,9
南山小譜,9
芸苑譜,9
清書画人名譜,9
藩譜,9
救荒埜譜,9
金工名譜,9
薬草略譜,8
韻勝園梅譜,8
硯譜,8
千蟲譜,8
米庵蔵筆譜,8
新撰楽譜,8
笙譜,8
竜笛譜,8
大坂新町遊女名譜,8
催馬楽譜,8
松島勝譜,8
茶譜,8
江増写真譜,8
桂園橘譜,7
大窪蟲譜,7
五知齋琴譜,7
無間鐘梅枝伝譜,7
皷譜,7
医譜,7
李院扇譜,7
金譜,7
箏曲新譜,7
催馬楽略譜,7
直茂公三徳譜,7
催馬樂譜,7
西皮工尺譜,7
大日本撰釋迦譜,6
万年青譜,6
鳳管譜,6
南海包譜,6
日本介譜,6
平陽汪氏九十一世支譜,6
御写本譜,6
書譜,6
釈迦譜,6
増訂撫箏雅譜,6
鳳鳴譜,6
広象棋譜,6
吾妻箏譜,6
歌譜,6
朗詠案譜,6
声明譜,6
天瓢斎書画落款譜,6
六調子曲仮名譜,6
蘇合香譜,6
郢曲譜,6
纐纈紺屋譜,6
神楽譜,6
清風雅譜,6
唐山象棋譜,6
御略譜,6
袖珎譜,6
琴工尺譜,6
朝顔譜,5
観文獣譜,5
投扇興譜,5
煙草譜,5
四生譜,5
偶人譜,5
雪女譜,5
諸門跡譜,5
許氏説文解字五音韻譜,5
劉氏人譜,5
太鼓譜,5
香譜,5
活語断続譜,5
銕荘茶譜,5
盤渉調曲譜,5
時宗要略譜,5
琴曲指譜,5
笙ノ譜,5
紫川館蔵書画落款譜,5
草木譜,5
粟島譜,5
高麗楽譜,5
曲譜,5
求古館医譜,5
碁譜,5
後宮譜,5
僧譜,5
釋迦譜,4
梅園介譜,4
白川侯蓮譜,4
霜葉譜,4
新刀銘譜,4
西園蓮譜,4
食物譜,4
茶道具組合会釈器物名譜,4
桂花園墨譜,4
蟹譜,4
櫻譜,4
格五新譜,4
催馬楽附物譜,4
蘇合香万秋楽譜,4
朗詠譜,4
三鼓譜,4
管絃按譜,4
波臣小譜,4
思貽斎管城二譜,4
篳篥仮名譜,4
詩牌譜,4
仏刹古瓦譜,4
外蕃旗譜,4
泰西王氏銃譜,4
龍笛譜,4
魏氏樂譜,4
聲光詞譜,4
樂譜,4
三光譜,4
円頓戒脈譜,4
南朝皇胤譜,4
鼓譜,4
高氏研譜,4
井家新譜,4
雑草譜,4
治国譜,4
蟲譜,3
漢画独楽譜,3
大成写真譜,3
華紋譜,3
和漢硯譜,3
介譜,3
百合譜,3
椿譜,3
古研譜,3
太平鶴譜,3
橘譜,3
西園蕈譜,3
草木実譜,3
蝶蜻譜,3
草木写生譜,3
日本諸州薬譜,3
黒田公山茶譜,3
蘇合香一具訳譜,3
楽曲考鳳笙譜,3
榧園泉貨譜,3
甲陽軍鑑合戦之巻畧譜,3
京江睦氏支譜,3
汪氏支譜,3
古渡更紗譜,3
融斎翎毛譜,3
田安譜,3
松平譜,3
将軍略譜,3
説文解字韻譜,3
蹴鞠譜,3
神楽催馬楽譜,3
催馬楽箏譜,3
和歌披講之譜,3
白山史小説譜,3
中星譜,3
算法盟譜,3
代講頌譜,3
雪下園画梅譜,3
鸚哥譜,3
松風閣琴譜,3
調子品譜,3
高麗仮名譜,3
散楽肩鼓之譜,3
残楽助音譜,3
蘇合香三帖破急譜,3
六調子及高麗曲譜,3
竜笛延只拍子譜,3
甘州譜,3
列国譜,3
蘆声譜,3
求古館方譜,3
活板大字譜,3
梅譜,3
舞曲譜,3
琵琶按譜,3
陵王舞譜,3
採桑老舞譜,3
金函名譜,3
誹檀林譜,3
歴代大仏師譜,3
菅家累譜,3
三鼓略譜,3
歴朝名公款譜,3
竜笛秘譜,3
花月琴譜,3
続書譜,3
吾嬬筝譜,3
撫筝雅譜,3
北行日譜,3
万国暗射図指南譜,3
鮫譜,3
雅琴譜,3
越前家分脈譜,3
解体譜,3
画藪後八種四体譜,3
皇親譜,3
宋画華譜,3
帝王御譜,3
沖縄県下先島草木譜,3
右舞譜,3
風俗譜,3
新渡大錢譜,3
華族類別譜,3
明清樂譜,3
鹽松勝譜,3
古今紅葉譜,3
韻譜,3
神樂歌譜,3
浅野考譜,3
松源大譜,3
鞍鐙工譜,3
笛之譜,3
觱篥譜,3
秦曲笛譜,3
紫巖譜,3
唐音和解音曲笛譜,3
将棋新譜,3
茅氏研譜,3
寛永譜,3
御代々様略譜,3
瑟譜,3
鯛譜,3
秦箏要録譜,3
大成真写譜,2
名公扇譜,2
漢画獨樂譜,2
刀茎銘譜,2
名物椿譜,2
諸州譜,2
種藷譜,2
森野桂叢草木葉譜,2
菌蕈譜,2
一白圃躑躅譜,2
蝶譜,2
吉田平九郎先生介譜,2
物識獣譜,2
霧島山艸木譜,2
東西艸木名譜,2
酒譜,2
野草譜,2
諸勝名所譜,2
夏木譜,2
啓蒙介譜,2
錦窠穀精草科譜,2
皇帝破陣楽譜,2
大曲蘇合香竜笛譜,2
尾張譜,2
水戸譜,2
中巌月和尚自歴譜,2
播磨国竜野城主歴代譜,2
血脈道統之譜,2
諸家略譜,2
古人真蹟短冊名譜,2
奏箏譜,2
御文庫之秘譜,2
神人眼睫譜,2
諸門跡之譜,2
神楽歌譜,2
横笛略譜,2
林春斎自叙譜,2
地本錦絵問屋譜,2
鳳鼓秘譜,2
森田流外能楽笛譜,2
葭笛秘譜,2
浪曲秘譜,2
牙籌譜,2
駿藩名譜,2
日本医譜,2
朗詠秘譜,2
打物譜,2
雲上譜,2
帰黙斎方譜,2
伏見宮琵琶譜,2
朗詠伝授譜,2
和歌披講譜,2
姉川合戦前後略譜,2
長湫柳瀬合戦前後略譜,2
三曲秘譜,2
三極秘曲譜,2
啄木譜,2
秘曲譜,2
横笛古譜,2
古錦綺譜,2
蘿軒変古箋譜,2
伝授譜,2
琵琶懐中秘譜,2
琵琶御譜,2
和琴之譜,2
三五秘譜,2
越琴譜,2
古刊本残頁譜,2
竜笛枢要譜,2
明清書画款譜,2
必端堂硯譜,2
爪調譜,2
撥合調子譜,2
有俊卿催馬楽秘譜,2
鳥名子舞歌譜,2
鳳凰管要略譜,2
倭舞歌譜並大嘗会田舞歌譜,2
蘇合香一具仮名譜,2
蘇合香万秋楽仮名譜,2
万歳楽以下只拍子譜并三皷譜,2
万秋楽仮名譜,2
万歳楽鳥破只拍子譜,2
六調々子譜及催馬楽譜,2
壱越調平調曲譜,2
壱越調曲譜,2
諸調子品橃合譜,2
高麗竜外五曲譜,2
懐中譜,2
柳花苑譜,2
雙調曲譜,2
蘇合香万秋楽春鶯囀皇麞譜,2
止観微旨掌中譜,2
乎古止点譜,2
修製譜,2
手綱譜,2
折下外記先祖并武功之譜,2
菓子譜,2
北蝦夷草木譜,2
塩松勝譜,2
横笛中曲譜,2
群英譜,2
大成銘譜,2
人長舞曲秘譜,2
国字類聚略方譜,2
浄瑠璃譜,2
蜻蜒譜,2
雙調曲及延喜楽譜,2
蘇合香及黄鐘調盤渉調譜,2
後陽成院至桜町院皇子女略譜,2
髹譜,2
唱歌譜,2
青山琴譜,2
重修正文音對捷要真伝琴譜,2
琵琶ノ譜,2
笛高麗秘曲譜,2
篳篥略譜,2
鳳笙五十五曲之譜,2
鳳笙略譜,2
十五名万秋楽譜,2
高麗篳篥譜,2
舞按譜,2
竜笛案譜,2
左舞按譜,2
正楽譜,2
雑譜,2
明清楽譜,2
医聖書院合薬房略方譜,2
位階沿革譜,2
璿源譜,2
芳烈公略譜,2
箏曲秘譜,2
丁丑朝顔譜,2
雪登齋点俳譜,2
日本俳譜,2
漢音梵唄譜,2
俳諧点譜,2
地他日譜,2
吟譜,2
錦譜,2
三五之譜,2
琵琶弾法口伝秘譜,2
竜笛要略譜,2
鳳笙古譜,2
鳳笙稚譜,2
鳳簫調子安譜,2
五鼓譜,2
左舞曲譜,2
左舞譜,2
郢曲附物譜,2
観生居月琴詞譜,2
箏曲譜,2
新葉雅譜,2
香彩譜,2
