Rank,Bi-gram,Bi-Count,Tri-gram,Tri-Count,Tetra-gram,Tetra-Count,Penta-gram,Penta-Count
1,曲譜,185,平曲譜,79,平曲譜本,77,撫箏雅譜集,32
2,琴譜,161,曲譜本,79,撫箏雅譜,40,六調子曲譜,29
3,楽譜,139,催馬楽,56,六調子曲,36,竜笛仮名譜,16
4,平曲,87,仮名譜,50,箏雅譜集,32,竜笛要録譜,15
5,譜本,84,鳳笙譜,45,八雲琴譜,29,譜伝実録1,11
6,音楽,79,撫箏雅,41,調子曲譜,29,菅原伝授手,10
7,竜笛,75,箏雅譜,40,東皐琴譜,23,原伝授手習,10
8,笛譜,72,六調子,40,どどいつ,23,伝授手習鑑,10
9,名譜,71,蘇合香,36,吾嬬箏譜,20,蘇合香万秋,10
10,琵琶,71,調子曲,36,譜伝実録,20,合香万秋楽,10
11,略譜,67,／他四,36,笛要録譜,17,名手本忠臣,9
12,仮名,66,雅譜集,35,竜笛仮名,17,皇帝破陣楽,8
13,鳳笙,66,八雲琴,30,笛仮名譜,17,撫箏雅譜大,8
14,謡本,65,雅楽譜,29,〔謡本〕,17,箏雅譜大成,8
15,箏譜,64,雲琴譜,29,竜笛要録,15,雅譜大成抄,8
16,催馬,63,子曲譜,29,けいせい,15,奥州安達原,8
17,笙譜,61,琵琶譜,27,魏氏楽譜,13,小野道風青,8
18,調子,61,万秋楽,26,催馬楽譜,13,野道風青柳,8
19,馬楽,56,謡本〕,26,世流謡本,13,道風青柳硯,8
20,雅譜,52,篳篥譜,24,よしこの,12,大津絵ぶし,8
21,秘譜,50,東皐琴,23,音楽問答,12,どどいつ・,8
22,役者,46,皐琴譜,23,律呂新書,12,神楽催馬楽,8
23,譜／,45,どどい,23,玉堂琴譜,11,觀世流謡本,8
24,篳篥,43,どいつ,23,伝実録1,11,蘇合香一具,7
25,之譜,43,要録譜,20,手本忠臣,10,譜代家督留,7
26,神楽,43,笛仮名,20,菅原伝授,10,五知齋琴譜,7
27,撫箏,42,吾嬬箏,20,原伝授手,10,知齋琴譜8,7
28,六調,42,嬬箏譜,20,伝授手習,10,齋琴譜8卷,7
29,箏雅,41,譜伝実,20,授手習鑑,10,本朝廿四孝,7
30,本〕,41,伝実録,20,蘇合香万,10,仮名手本忠,7
31,歌譜,40,神楽歌,19,合香万秋,10,どどいつ集,7
32,蘇合,39,太平記,18,香万秋楽,10,盤渉調曲譜,7
33,譜集,39,竜笛要,18,只拍子譜,10,催馬楽略譜,7
34,／他,39,調曲譜,18,名手本忠,9,西皮工尺譜,7
35,竹譜,37,〔謡本,18,小野道風,9,常磐津節正,6
36,雅楽,36,節正本,17,津絵ぶし,9,磐津節正本,6
37,合香,36,浄瑠璃,17,音楽紀聞,9,太平記忠臣,6
38,高麗,36,笛要録,17,曲仮名譜,9,平記忠臣講,6
39,子曲,36,竜笛仮,17,皇帝破陣,8,記忠臣講釈,6
40,他四,36,壱越調,17,帝破陣楽,8,妹背山婦女,6
41,うた,35,和琴譜,16,箏雅譜大,8,背山婦女庭,6
42,譜》,34,いせい,16,雅譜大成,8,山婦女庭訓,6
43,律呂,34,流謡本,16,譜大成抄,8,鎌倉三代記,6
44,案譜,33,盤渉調,15,奥州安達,8,手本忠臣蔵,6
45,合戦,32,楽問答,15,州安達原,8,増訂撫箏雅,6
46,物語,32,けいせ,15,野道風青,8,訂撫箏雅譜,6
47,問答,32,工尺譜,15,道風青柳,8,横笛譜裏書,6
48,八雲,31,竜笛譜,14,風青柳硯,8,催馬楽附物,6
49,要録,31,魏氏楽,14,大津絵ぶ,8,六調子曲仮,6
50,雲琴,30,氏楽譜,13,どいつ・,8,調子曲仮名,6
51,舞譜,30,横笛譜,13,神楽催馬,8,子曲仮名譜,6
52,秋楽,28,大津絵,13,楽催馬楽,8,／撫箏雅譜,6
53,篥譜,28,いつ・,13,万秋楽譜,8,'二簧?琴,6
54,伝授,28,馬楽譜,13,新撰楽譜,8,二簧?琴工,6
55,いつ,28,只拍子,13,觀世流謡,8,簧?琴工尺,6
56,朗詠,28,一節切,13,声曲類纂,7,?琴工尺譜,6
57,の段,28,世流謡,13,蘇合香一,7,源平布引滝,5
58,目録,27,玉堂琴,12,合香一具,7,日本振袖始,5
