Rank,Keyword,Count
1,https://jpsearch.go.jp/term/keyword/音楽・演劇--能楽,308
2,https://jpsearch.go.jp/term/keyword/雅楽,300
3,https://jpsearch.go.jp/term/keyword/音楽,246
4,https://jpsearch.go.jp/term/keyword/浄瑠璃_義太夫,215
5,https://jpsearch.go.jp/term/keyword/国書の部--芸術--音楽--浄瑠璃,172
6,https://jpsearch.go.jp/term/keyword/音楽・演劇,166
7,https://jpsearch.go.jp/term/keyword/系譜,137
8,https://jpsearch.go.jp/term/keyword/芸術--音楽・舞踏--能の本,129
9,https://jpsearch.go.jp/term/keyword/国書の部--芸術--音楽・演劇,119
10,https://jpsearch.go.jp/term/keyword/音楽・演劇--演劇--能楽--謡本付小謡--能の本,88
11,https://jpsearch.go.jp/term/keyword/浄瑠璃,62
12,https://jpsearch.go.jp/term/keyword/狂言本,59
13,https://jpsearch.go.jp/term/keyword/歌謡,54
14,https://jpsearch.go.jp/term/keyword/音楽・演劇--浄瑠璃,53
15,https://jpsearch.go.jp/term/keyword/音楽・演劇--能の本,50
16,https://jpsearch.go.jp/term/keyword/本草,48
17,https://jpsearch.go.jp/term/keyword/国書之部--芸術--音楽,47
18,https://jpsearch.go.jp/term/keyword/服部家旧蔵一般書--芸術--音楽,46
19,https://jpsearch.go.jp/term/keyword/芸術--音楽,44
20,https://jpsearch.go.jp/term/keyword/伝記,41
21,https://jpsearch.go.jp/term/keyword/声明,41
22,https://jpsearch.go.jp/term/keyword/楽譜,38
23,https://jpsearch.go.jp/term/keyword/産業--音楽,37
24,https://jpsearch.go.jp/term/keyword/音楽・演劇--演劇--浄瑠璃--義太夫節,37
25,https://jpsearch.go.jp/term/keyword/音楽・演劇--能・狂言,33
26,https://jpsearch.go.jp/term/keyword/国書の部--芸術--音楽--唄もの,31
27,https://jpsearch.go.jp/term/keyword/能,30
28,https://jpsearch.go.jp/term/keyword/国書の部--芸術--音楽,28
29,https://jpsearch.go.jp/term/keyword/雑史,27
30,https://jpsearch.go.jp/term/keyword/音楽・演劇--歌舞伎,27
31,https://jpsearch.go.jp/term/keyword/魚介,26
32,https://jpsearch.go.jp/term/keyword/植物,26
33,https://jpsearch.go.jp/term/keyword/新学--音楽,24
34,https://jpsearch.go.jp/term/keyword/芸術--邦楽,22
35,https://jpsearch.go.jp/term/keyword/動物,20
36,https://jpsearch.go.jp/term/keyword/国書--音楽・演劇--謡本,20
37,https://jpsearch.go.jp/term/keyword/音楽・演劇--音楽,20
38,https://jpsearch.go.jp/term/keyword/天台,19
39,https://jpsearch.go.jp/term/keyword/和書_慶応以前,19
40,https://jpsearch.go.jp/term/keyword/一般資料--和書_慶応以前,19
