@id,rdfs:label,schema:name,schema:description,schema:about
https://jpsearch.go.jp/data/adeac-R100000094_I000006431_00,常源譜略,常源譜略,"['ID: R100000094_I000006431_00', '資料種別: 和古書', '資料・資料群名: 小田家遺品', 'カテゴリ名: 古典籍', '書物', '言語（ISO639-2）: jpn', '資料の分類: 小田家遺品', '大きさ、容量等: 1冊', '大きさ、容量等: 27cm、19.8cm']",
https://jpsearch.go.jp/data/adeac-R100000094_I000021773_00,苗城秘譜略稿頭書写,"['Naejouhifuryakukoutoushoutsushi', '苗城秘譜略稿頭書写', 'なえじょうひふりゃくこうとうしょうつし']","['資料・資料群名: 大名遠山家資料', '資料の種別: 古文書', '苗木城主遠山家の由緒の写し', '和綴', '大きさ、容量等: 1冊', '言語（ISO639-2）: jpn', '大きさ、容量等: 11cm、18.5cm', 'カテゴリ名: 古文書', '資料種別: 書写資料', 'ID: R100000094_I000021773_00']",
https://jpsearch.go.jp/data/adeac-R100000094_I000023843_00,大日本撰釋迦譜要略 佛 : 釋迦譜要略,"['大日本撰釋迦譜要略 佛 : 釋迦譜要略', 'ダイニホン セン シャカ フ ヨウリャク : シャカ フ ヨウリャク', 'Dainihon sen shaka fu youryaku : shaka fu youryaku']","['資料の種別: 古典籍', '資料の分類: 稽古有文館－仏教', '資料種別: 和古書', 'カテゴリ名: 古典籍', '言語（ISO639-2）: jpn', '資料・資料群名: 【島根大】河本家古典籍', '大きさ、容量等: 1冊、64丁', '刊・整版／（表紙）支子色卍繋ぎ地／（料紙）楮', '大きさ、容量等: 24.6cm、17.5cm', 'ID: R100000094_I000023843_00', '袋綴']",
https://jpsearch.go.jp/data/adeac-R100000094_I000023844_00,大日本撰釋迦譜要略 法 : 釋迦譜要略,"['ダイニホン セン シャカ フ ヨウリャク : シャカ フ ヨウリャク', 'Dainihon sen shaka fu youryaku : shaka fu youryaku', '大日本撰釋迦譜要略 法 : 釋迦譜要略']","['資料の種別: 古典籍', '資料の分類: 稽古有文館－仏教', '大きさ、容量等: 1冊、54丁', 'ID: R100000094_I000023844_00', '資料種別: 和古書', 'カテゴリ名: 古典籍', '言語（ISO639-2）: jpn', '資料・資料群名: 【島根大】河本家古典籍', '刊・整版／（表紙）支子色卍繋ぎ地／（料紙）楮', '大きさ、容量等: 24.6cm、17.5cm', '袋綴']",
https://jpsearch.go.jp/data/adeac-R100000094_I000023845_00,大日本撰釋迦譜要略 僧 : 釋迦譜要略,"['ダイニホン セン シャカ フ ヨウリャク : シャカ フ ヨウリャク', 'Dainihon sen shaka fu youryaku : shaka fu youryaku', '大日本撰釋迦譜要略 僧 : 釋迦譜要略']","['カテゴリ名: 古典籍', '大きさ、容量等: 24.6cm、17.5cm', '資料の分類: 稽古有文館－仏教', '大きさ、容量等: 1冊、51丁', '言語（ISO639-2）: jpn', '資料の種別: 古典籍', '資料種別: 和古書', 'ID: R100000094_I000023845_00', '袋綴', '刊・整版／（表紙）支子色卍繋ぎ地／（料紙）楮', '資料・資料群名: 【島根大】河本家古典籍']",
https://jpsearch.go.jp/data/adeac-R100000094_I000036948_00,新撰類聚往来 上,"['Shinsenruijuuourai', '新撰類聚往来 上', 'シンセンルイジュウオウライ']","['資料種別: 和古書', '資料の分類: 和書－往来本－古往来', '資料・資料群名: 往来本デジタルアーカイブ', '【判型】大本3巻3冊。 【作者】丹峯和尚作。 【年代等】室町中期、明応～永正（1492～1520）頃作。慶安元年（1648）5月刊。［京都］敦賀屋久兵衛板。 【概要】分類「往来物（古往来）」。『庭訓往来』と同様の形式で、全15条30通の消息文例に4000語以上もの膨大な単語集団を盛り込んだ古往来。上巻冒頭は「鳳暦開端竜躔易次。三正之嘉慶雖而今事旧候、旁以珍重々々…」と起筆して新年の祝儀や来月看花の行幸に伴い供奉の朝臣の位次を述べ、その見物に誘うという第1条往状で、「位次」と題した単語集団を挟み、その返状で「氏姓」「名乗」の単語集団を列記するように、第1条（看花・花苑）、第2条（絵画）、第3条（館経営）、第4条（饗応）、第5条（音楽・薬方＊以上上巻）、第6条（遊戯・教養）、第7条（盂蘭盆会）、第8条（農作）、第9条（教養・学問）、第10条（教養）、第11条（連歌・文具）、第12条（館造作・家具什器＊以上中巻）、第13条（仏事・仏具）、第14条（旅行・諸国）、第15条（上洛・須弥四州＊以上下巻）までの15条往復30通を、独等の近衛流書体の大字・7行・所々付訓で記す。その中に、位次、氏姓、名乗、画具、料足、茶、紙、珍宝、屋具・屋体・堂塔、番匠之具、草花・美木、走獣、羹・前点、茶子・菓子、調菜方・海草・野菜、楽器・十二律・楽、薬種（以上上巻）、料理方・魚、鳥、神具、俗服、物具（武具等）、五穀、酒・酒器、虫、能書、木、草、墨、硯、筆、家具・器財、人倫（以上中巻）、飾具・物具、道具（法衣等）、天象・地類、扶桑六十八州の大略・授領（五畿七道別の諸国・郡名）、洛の条理縦横小路、須弥四州（須弥山を取り巻く九山八海の最果てにある四大陸＊以上下巻）の単語集団を盛り込む。これらの語彙を整理すると、神祇・仏教293語、漢学・文学・教養329語、地名・人倫・職分・職業1683語、衣食住・武具1335語、自然374語、雑91語の合計4105語となる。 【備考】本書の最古本は天正4年（1576）本（東京大学国語研究室蔵）で、楷書に近い行書・大字・7行・付訓で記し、第1状往状より第8状返状までを収める。（小泉吉永 記）', '資料の種別: 和書、往来本', '大きさ、容量等: 42丁', 'カテゴリ名: 古典籍', '大きさ、容量等: 25.4cm、19.1cm', 'ID: R100000094_I000036948_00', '冊子・袋綴', '言語（ISO639-2）: jpn']",
https://jpsearch.go.jp/data/adeac-R100000094_I000036949_00,新撰類聚往来 中,"['シンセンルイジュウオウライ', 'Shinsenruijuuourai', '新撰類聚往来 中']","['ID: R100000094_I000036949_00', '大きさ、容量等: 25.5cm、19.1cm', '資料の分類: 和書－往来本－古往来', '【判型】大本3巻3冊。 【作者】丹峯和尚作。 【年代等】室町中期、明応～永正（1492～1520）頃作。慶安元年（1648）5月刊。［京都］敦賀屋久兵衛板。 【概要】分類「往来物（古往来）」。『庭訓往来』と同様の形式で、全15条30通の消息文例に4000語以上もの膨大な単語集団を盛り込んだ古往来。上巻冒頭は「鳳暦開端竜躔易次。三正之嘉慶雖而今事旧候、旁以珍重々々…」と起筆して新年の祝儀や来月看花の行幸に伴い供奉の朝臣の位次を述べ、その見物に誘うという第1条往状で、「位次」と題した単語集団を挟み、その返状で「氏姓」「名乗」の単語集団を列記するように、第1条（看花・花苑）、第2条（絵画）、第3条（館経営）、第4条（饗応）、第5条（音楽・薬方＊以上上巻）、第6条（遊戯・教養）、第7条（盂蘭盆会）、第8条（農作）、第9条（教養・学問）、第10条（教養）、第11条（連歌・文具）、第12条（館造作・家具什器＊以上中巻）、第13条（仏事・仏具）、第14条（旅行・諸国）、第15条（上洛・須弥四州＊以上下巻）までの15条往復30通を、独等の近衛流書体の大字・7行・所々付訓で記す。その中に、位次、氏姓、名乗、画具、料足、茶、紙、珍宝、屋具・屋体・堂塔、番匠之具、草花・美木、走獣、羹・前点、茶子・菓子、調菜方・海草・野菜、楽器・十二律・楽、薬種（以上上巻）、料理方・魚、鳥、神具、俗服、物具（武具等）、五穀、酒・酒器、虫、能書、木、草、墨、硯、筆、家具・器財、人倫（以上中巻）、飾具・物具、道具（法衣等）、天象・地類、扶桑六十八州の大略・授領（五畿七道別の諸国・郡名）、洛の条理縦横小路、須弥四州（須弥山を取り巻く九山八海の最果てにある四大陸＊以上下巻）の単語集団を盛り込む。これらの語彙を整理すると、神祇・仏教293語、漢学・文学・教養329語、地名・人倫・職分・職業1683語、衣食住・武具1335語、自然374語、雑91語の合計4105語となる。 【備考】本書の最古本は天正4年（1576）本（東京大学国語研究室蔵）で、楷書に近い行書・大字・7行・付訓で記し、第1状往状より第8状返状までを収める。（小泉吉永 記）', '資料の種別: 和書、往来本', '言語（ISO639-2）: jpn', '冊子・袋綴', '資料・資料群名: 往来本デジタルアーカイブ', '大きさ、容量等: 43丁', 'カテゴリ名: 古典籍', '資料種別: 和古書']",
https://jpsearch.go.jp/data/adeac-R100000094_I000036950_00,新撰類聚往来 下,"['新撰類聚往来 下', 'Shinsenruijuuourai', 'シンセンルイジュウオウライ']","['冊子・袋綴', '言語（ISO639-2）: jpn', '資料の種別: 和書、往来本', '資料の分類: 和書－往来本－古往来', 'ID: R100000094_I000036950_00', '資料種別: 和古書', '大きさ、容量等: 35丁', '【判型】大本3巻3冊。 【作者】丹峯和尚作。 【年代等】室町中期、明応～永正（1492～1520）頃作。慶安元年（1648）5月刊。［京都］敦賀屋久兵衛板。 【概要】分類「往来物（古往来）」。『庭訓往来』と同様の形式で、全15条30通の消息文例に4000語以上もの膨大な単語集団を盛り込んだ古往来。上巻冒頭は「鳳暦開端竜躔易次。三正之嘉慶雖而今事旧候、旁以珍重々々…」と起筆して新年の祝儀や来月看花の行幸に伴い供奉の朝臣の位次を述べ、その見物に誘うという第1条往状で、「位次」と題した単語集団を挟み、その返状で「氏姓」「名乗」の単語集団を列記するように、第1条（看花・花苑）、第2条（絵画）、第3条（館経営）、第4条（饗応）、第5条（音楽・薬方＊以上上巻）、第6条（遊戯・教養）、第7条（盂蘭盆会）、第8条（農作）、第9条（教養・学問）、第10条（教養）、第11条（連歌・文具）、第12条（館造作・家具什器＊以上中巻）、第13条（仏事・仏具）、第14条（旅行・諸国）、第15条（上洛・須弥四州＊以上下巻）までの15条往復30通を、独等の近衛流書体の大字・7行・所々付訓で記す。その中に、位次、氏姓、名乗、画具、料足、茶、紙、珍宝、屋具・屋体・堂塔、番匠之具、草花・美木、走獣、羹・前点、茶子・菓子、調菜方・海草・野菜、楽器・十二律・楽、薬種（以上上巻）、料理方・魚、鳥、神具、俗服、物具（武具等）、五穀、酒・酒器、虫、能書、木、草、墨、硯、筆、家具・器財、人倫（以上中巻）、飾具・物具、道具（法衣等）、天象・地類、扶桑六十八州の大略・授領（五畿七道別の諸国・郡名）、洛の条理縦横小路、須弥四州（須弥山を取り巻く九山八海の最果てにある四大陸＊以上下巻）の単語集団を盛り込む。これらの語彙を整理すると、神祇・仏教293語、漢学・文学・教養329語、地名・人倫・職分・職業1683語、衣食住・武具1335語、自然374語、雑91語の合計4105語となる。 【備考】本書の最古本は天正4年（1576）本（東京大学国語研究室蔵）で、楷書に近い行書・大字・7行・付訓で記し、第1状往状より第8状返状までを収める。（小泉吉永 記）', 'カテゴリ名: 古典籍', '資料・資料群名: 往来本デジタルアーカイブ', '大きさ、容量等: 26.1cm、19.1cm']",
https://jpsearch.go.jp/data/adeac-R100000094_I000074253_00,組々御譜代被仰付候節ヨリ之留,"['クミクミゴフダイオオセツケラレソウロウセツヨリノトメ', 'Kumikumigofudaioosetsukeraresourousetsuyorinotome', '組々御譜代被仰付候節ヨリ之留']","['ID: R100000094_I000074253_00', '大きさ、容量等: 1冊（36丁）', '言語（ISO639-2）: jpn', '資料種別: 図書', '資料・資料群名: 山城国淀藩士上月家文書', '竪帳', '寛政5年7月17日に御旗奉行者頭、御持長柄奉行が譜代を仰せつけられてから、享和2年12月10日までの譜代足軽勤方についての諸法令留書。', '大きさ、容量等: 24.6cm、17.1cm', '目次・記事（情報資源のラベル）: 組々御譜代被仰付候節ヨリ之留（本文テキスト）', 'カテゴリ名: 古典籍', '資料種別: 書写資料']",
https://jpsearch.go.jp/data/adeac-R100000094_I000074387_00,帝王譜畧 乾,"['テイオウ フ リャク', 'Teiou fu ryaku', '帝王譜畧 乾']","['カテゴリ名: 古典籍', '言語（ISO639-2）: jpn', '著者: 伊藤長胤 : イトウチョウイン', '資料の分類: 阿波国文庫', 'ID: R100000094_I000074387_00', '資料種別: 和古書', '資料・資料群名: 徳島県立図書館 阿波国文庫', '大きさ、容量等: 1冊', '写']",
