Rank,Bi-gram,Bi-Count,Tri-gram,Tri-Count,Tetra-gram,Tetra-Count,Penta-gram,Penta-Count
1,画譜,2147,諸家譜,698,寛政重修,686,寛政重修諸,685
2,家譜,1718,寛政重,687,政重修諸,685,政重修諸家,685
3,系譜,1708,政重修,686,重修諸家,685,重修諸家譜,684
4,諸家,1010,重修諸,685,修諸家譜,684,諸士系譜巻,343
5,図譜,921,修諸家,685,本草図譜,463,士系譜巻之,343
6,年譜,852,草図譜,465,諸士系譜,348,修諸家譜1,340
7,印譜,804,20巻,465,士系譜巻,343,諸家譜15,340
8,重修,698,本草図,463,系譜巻之,343,家譜152,340
9,譜1,692,家系譜,448,家譜15,341,譜1520,340
10,寛政,690,譜巻之,444,諸家譜1,340,1520巻,340
11,政重,687,譜15,371,譜152,340,画譜外題/,129
12,修諸,685,家譜1,355,1520,340,古今萬姓統,115
13,本草,535,士系譜,353,520巻,340,今萬姓統譜,115
14,0巻,504,諸士系,348,諸家系譜,195,歴代帝王姓,115
15,20,491,系譜巻,343,譜外題/,139,代帝王姓系,115
16,譜巻,472,152,341,画譜外題,129,帝王姓系統,115
17,家系,467,520,340,歴代帝王,123,王姓系統譜,115
18,草図,465,諸家系,196,古今萬姓,115,姓系統譜6,115
19,巻之,449,斎画譜,194,今萬姓統,115,系統譜6卷,115
20,之部,409,藩翰譜,182,萬姓統譜,115,統譜6卷氏,115
21,15,402,御年譜,148,代帝王姓,115,譜6卷氏族,115
22,諸士,353,鳥画譜,144,帝王姓系,115,6卷氏族博,115
23,士系,353,譜外題,140,王姓系統,115,卷氏族博攷,115
24,52,345,外題/,140,姓系統譜,115,系譜巻之2,109
25,魚譜,273,御系譜,139,系統譜6,115,系譜巻之1,106
26,14,272,譜6卷,136,統譜6卷,115,萬姓統譜1,92
27,譜2,261,之部1,134,譜6卷氏,115,姓統譜14,92
28,錦窠,257,氏系譜,133,6卷氏族,115,統譜140,92
29,統譜,248,氏宗譜,129,卷氏族博,115,譜140卷,92
30,古今,243,画譜外,129,氏族博攷,115,140卷歴,92
31,氏族,241,代帝王,125,譜巻之1,110,40卷歴代,92
32,1卷,214,歴代帝,123,譜巻之2,110,0卷歴代帝,92
33,譜第,200,140,116,花鳥画譜,105,卷歴代帝王,92
34,譜略,194,古今萬,115,集20巻,100,氏族博攷1,92
35,斎画,194,今萬姓,115,姓統譜1,92,族博攷14,92
36,がふ,193,萬姓統,115,統譜14,92,博攷14卷,92
37,花譜,186,姓統譜,115,譜140,92,本草図譜第,92
38,曲譜,186,帝王姓,115,140卷,92,諸家知譜拙,89
39,翰譜,185,王姓系,115,40卷歴,92,家知譜拙記,89
40,歴代,185,姓系統,115,0卷歴代,92,古今俳優似,71
41,藩翰,184,系統譜,115,卷歴代帝,92,今俳優似顔,71
42,畫譜,183,統譜6,115,族博攷1,92,俳優似顔大,71
43,6卷,182,6卷氏,115,博攷14,92,優似顔大全,71
44,2巻,181,卷氏族,115,攷14卷,92,系譜巻之3,68
45,先生,179,氏族博,115,草図譜第,92,宇津保物語,60
46,代目,175,族博攷,115,諸家知譜,89,二如亭群芳,59
47,禽譜,172,巻之1,111,家知譜拙,89,如亭群芳譜,59
48,草木,170,巻之2,110,知譜拙記,89,梅園草木花,55
49,略譜,170,花鳥画,105,将軍家譜,80,園草木花譜,55
50,4卷,169,軍家譜,104,平曲譜本,77,本草図譜巻,53
51,譜6,167,田家譜,101,人物画譜,76,草図譜巻之,51
52,琴譜,162,集20,100,卷首1卷,76,錦窠禾本譜,51
53,0卷,161,譜14,93,山水画譜,74,:本草図譜,50
54,題/,160,40卷,93,古今俳優,73,博愛堂集古,49
55,譜／,153,統譜1,92,似顔大全,73,愛堂集古印,49
56,外題,148,0卷歴,92,先生年譜,72,堂集古印譜,49
57,御年,148,卷歴代,92,譜不分卷,72,倭人物画譜,45
58,帝王,147,博攷1,92,今俳優似,71,譜外題/ほ,45
59,譜外,147,攷14,92,俳優似顔,71,外題/ほく,45
60,御系,145,14卷,92,優似顔大,71,/ほくさい,45
61,宗譜,145,図譜第,92,譜巻之3,70,収載資料名,43
62,鳥画,144,譜拙記,90,黒田家譜,66,載資料名：,43
63,花鳥,144,諸家知,89,錦窠魚譜,65,絵本問屋印,43
64,楽譜,143,家知譜,89,公御年譜,63,本問屋印譜,43
65,集2,139,知譜拙,89,宇津保物,60,資料名：古,41
66,氏系,137,年譜1,84,津保物語,60,料名：古今,41
67,部1,134,譜2巻,81,亭群芳譜,60,名：古今俳,41
68,名譜,133,将軍家,81,二如亭群,59,：古今俳優,41
69,田家,131,古印譜,81,如亭群芳,59,茂公御年譜,40
70,竹譜,131,物画譜,81,北斎画譜,57,蕭山傅氏宗,38
71,譜3,130,草木花,79,集古印譜,57,山傅氏宗譜,38
72,氏宗,129,氏家譜,79,氏族通譜,57,豊臣秀吉譜,38
73,虫譜,126,平曲譜,79,草木花譜,56,宋紫石画譜,36
74,代帝,125,曲譜本,79,譜24卷,56,嶺花鳥画譜,36
75,之1,123,筆画譜,76,梅園草木,55,楳嶺花鳥画,35
76,姓系,122,水画譜,76,園草木花,55,氏宗譜不分,35
77,40,121,人物画,76,草図譜巻,53,宗譜不分卷,35
78,2卷,117,卷首1,76,図譜巻之,51,草図譜第１,35
79,萬姓,117,首1卷,76,錦窠禾本,51,題/ほくさ,34
80,銭譜,115,山水画,74,窠禾本譜,51,鎌倉将軍家,32
81,今萬,115,師年譜,74,:本草図,50,倉将軍家譜,32
82,姓統,115,古今俳,73,和尚年譜,50,京都将軍家,32
83,王姓,115,今俳優,73,文鳳画譜,49,都将軍家譜,32
84,系統,115,似顔大,73,博愛堂集,49,撫箏雅譜集,32
85,卷氏,115,顔大全,73,愛堂集古,49,八旗氏族通,32
86,族博,115,譜不分,73,堂集古印,49,旗氏族通譜,32
87,博攷,115,先生年,72,一蝶画譜,47,G3049,32
88,之2,114,生年譜,72,栗氏魚譜,47,30495,32
89,譜》,112,不分卷,72,氏宗譜1,47,0495-,32
90,冊巻,112,俳優似,71,錦窠禽譜,47,補諸家知譜,31
91,1巻,110,優似顔,71,北越雪譜,46,本草綱目啓,31
92,卷首,108,巻之3,70,日東魚譜,46,草綱目啓蒙,31
93,軍家,105,鳳画譜,70,倭人物画,45,江都卞氏族,31
94,3巻,104,黒田家,69,外題/ほ,45,都卞氏族譜,31
95,菌譜,104,氏族譜,68,題/ほく,45,卞氏族譜2,31
96,譜/,100,山画譜,66,/ほくさ,45,氏族譜24,31
97,押譜,99,錦窠魚,65,ほくさい,45,族譜24卷,31
98,山水,99,窠魚譜,65,救荒野譜,44,譜24卷首,31
99,10,98,石画譜,64,傅氏宗譜,44,24卷首5,31
100,黒田,98,公年譜,63,名家画譜,43,4卷首5卷,31
101,物語,98,公御年,63,収載資料,43,傅氏宗譜不,31
102,北斎,94,園草木,62,載資料名,43,越州山陰高,31
103,大全,94,うがふ,62,資料名：,43,州山陰高氏,31
104,族譜,94,之部2,61,絵本問屋,43,山陰高氏家,31
105,12,93,保物語,61,本問屋印,43,陰高氏家譜,31
106,卷歴,92,宇津保,60,問屋印譜,43,高氏家譜3,31
107,攷1,92,津保物,60,さいがふ,43,氏家譜36,31
108,芳譜,91,亭群芳,60,料名：古,41,家譜36卷,31
109,譜拙,90,群芳譜,60,名：古今,41,譜36卷首,31
110,拙記,90,二如亭,59,：古今俳,41,36卷首1,31
111,5卷,90,如亭群,59,豊臣秀吉,41,6卷首1卷,31
112,将軍,90,/ほく,59,道中画譜,40,ほくさいが,31
113,名家,90,譜3巻,58,臣秀吉譜,40,くさいがふ,31
114,家知,89,北斎画,57,撫箏雅譜,40,津保物語第,30
115,知譜,89,集古印,57,茂公御年,40,:宇津保物,30
116,圖譜,89,氏族通,57,年譜1巻,40,寒葉斎画譜,30
117,譜〕,89,族通譜,57,譜･新鐫,40,氏宗譜15,30
118,救荒,88,催馬楽,57,名数画譜,39,宗譜15卷,30
119,人物,87,木花譜,56,改正増補,38,譜15卷首,30
120,平曲,87,譜24,56,草木性譜,38,15卷首1,30
121,譜本,86,24卷,56,蕭山傅氏,38,5卷首1卷,30
122,梅園,84,梅園草,55,山傅氏宗,38,読耕先生全,30
123,伊達,84,譜1巻,54,宋紫石画,36,耕先生全集,30
124,音楽,83,図譜巻,54,紫石画譜,36,先生全集文,30
125,茂公,83,いがふ,53,嶺花鳥画,36,生全集文集,30
126,栗氏,82,御家譜,52,・二代目,36,全集文集2,30
127,古印,81,画譜/,52,六調子曲,36,集文集20,30
128,物画,81,千虫譜,52,楳嶺花鳥,35,文集20巻,30
129,木花,79,譜10,51,氏宗譜不,35,集20巻詩,30
130,氏家,79,錦窠禾,51,宗譜不分,35,20巻詩集,30
131,/ほ,79,窠禾本,51,図譜第１,35,0巻詩集2,30
132,日本,77,禾本譜,51,楠亭画譜,34,巻詩集20,30
133,増補,77,譜第１,51,斎書画譜,34,詩集20巻,30
134,俳優,77,:本草,50,氏族譜2,34,集20巻外,30
135,24,76,和尚年,50,写真図譜,33,20巻外集,30
136,筆画,76,尚年譜,50,年譜1卷,33,0巻外集2,30
137,水画,76,仮名譜,50,金生樹譜,33,巻外集20,30
138,竜笛,76,略年譜,50,京都将軍,33,外集20巻,30
139,首1,76,文鳳画,49,諸系譜第,33,集20巻年,30
140,笛譜,75,倭人物,49,鎌倉将軍,32,20巻年譜,30
141,師年,74,堂画譜,49,倉将軍家,32,0巻年譜1,30
142,不分,74,目八譜,49,本草綱目,32,巻年譜1巻,30
143,世譜,74,博愛堂,49,金銀銭譜,32,織田信長譜,29
144,今俳,73,愛堂集,49,高氏家譜,32,藩翰譜12,29
145,似顔,73,堂集古,49,都将軍家,32,六調子曲譜,29
146,顔大,73,花押譜,48,箏雅譜集,32,増補諸家知,28
147,譜不,73,家画譜,48,八旗氏族,32,十竹斎書画,28
148,生年,72,-14,48,旗氏族通,32,竹斎書画譜,28
149,之3,72,一蝶画,47,G304,32,花壇叢木画,28
150,分卷,72,蝶画譜,47,3049,32,壇叢木画譜,28
151,文鳳,71,栗氏魚,47,0495,32,改正増補諸,27
152,優似,71,氏魚譜,47,495-,32,正増補諸家,27
153,公御,71,宗譜1,47,補諸家知,31,翰譜12巻,27
154,琵琶,71,錦窠禽,47,草綱目啓,31,錦窠羊歯譜,27
155,書画,70,窠禽譜,47,綱目啓蒙,31,綱目啓蒙図,26
156,鳳画,70,北越雪,46,有職図譜,31,目啓蒙図譜,26
157,泉譜,70,越雪譜,46,江都卞氏,31,家金銀銭譜,26
158,催馬,69,日東魚,46,都卞氏族,31,窠禾本譜2,26
159,譜集,68,東魚譜,46,卞氏族譜,31,禾本譜23,26
160,仮名,68,譜1卷,46,族譜24,31,本譜23巻,26
161,山画,66,題/ほ,46,24卷首,31,譜23巻付,26
162,鎌倉,66,宋紫石,45,4卷首5,31,23巻付2,26
163,鳳笙,66,譜2卷,45,卷首5卷,31,3巻付2巻,26
164,30,65,鳳笙譜,45,越州山陰,31,物雛形画譜,25
165,窠魚,65,屋印譜,45,州山陰高,31,亭群芳譜2,25
166,謡本,65,堂印譜,45,山陰高氏,31,群芳譜24,25
167,第１,64,ほくさ,45,陰高氏家,31,芳譜24卷,25
168,石画,64,くさい,45,氏家譜3,31,譜24卷目,25
169,蕭山,64,老画譜,44,家譜36,31,24卷目1,25
170,箏譜,64,二代目,44,譜36卷,31,4卷目1卷,25
171,公年,63,救荒野,44,36卷首,31,八旗滿洲氏,25
172,本譜,63,荒野譜,44,6卷首1,31,旗滿洲氏族,25
173,集1,63,傅氏宗,44,翁略年譜,31,滿洲氏族通,25
174,公譜,63,中画譜,43,先生全集,31,洲氏族通譜,25
175,さい,63,名家画,43,くさいが,31,氏族通譜8,25
176,部2,62,収載資,43,蘭竹画譜,30,族通譜80,25
177,園草,62,載資料,43,保物語第,30,通譜80卷,25
178,二代,62,資料名,43,:宇津保,30,言唐詩畫譜,25
179,本朝,62,料名：,43,公長画譜,30,万物雛形画,24
180,調子,62,絵本問,43,寒葉斎画,30,錦窠禽譜2,24
181,うが,62,本問屋,43,葉斎画譜,30,窠禽譜2編,24
182,宇津,61,問屋印,43,宗譜15,30,禽譜2編2,24
183,保物,61,臣秀吉,43,譜15卷,30,譜2編20,24
184,写真,61,諸系譜,43,15卷首,30,2編20巻,24
185,笙譜,61,さいが,43,5卷首1,30,唐詩畫譜･,24
186,通譜,61,・二代,42,田氏系譜,30,萬姓統譜卷,23
187,目録,60,名：古,41,読耕先生,30,姓統譜卷4,23
188,津保,60,：古今,41,耕先生全,30,統譜卷4-,23
189,-1,60,豊臣秀,41,生全集文,30,譜卷4-5,23
190,集古,60,撫箏雅,41,全集文集,30,卷4-56,23
191,亭群,60,茂公御,41,集文集2,30,4-56・,23
192,群芳,60,正増補,40,文集20,30,-56・6,23
193,御家,59,道中画,40,20巻詩,30,56・62,23
194,新鐫,59,十竹斎,40,0巻詩集,30,6・62-,23
195,二如,59,斎書画,40,巻詩集2,30,・62-1,23
196,如亭,59,外集2,40,詩集20,30,62-14,23
197,ほく,59,秀吉譜,40,20巻外,30,2-140,23
198,啓蒙,58,箏雅譜,40,0巻外集,30,-140歴,23
199,和漢,57,六調子,40,巻外集2,30,140歴代,23
200,和尚,57,譜･新,40,外集20,30,40歴代帝,23
