Rank,Bi-gram,Bi-Count,Tri-gram,Tri-Count,Tetra-gram,Tetra-Count,Penta-gram,Penta-Count
1,曲譜,186,平曲譜,79,平曲譜本,77,宇津保物語,60
2,琴譜,162,曲譜本,79,宇津保物,60,錦窠禾本譜,51
3,楽譜,139,宇津保,60,津保物語,60,撫箏雅譜集,32
4,名譜,125,津保物,60,錦窠禾本,51,津保物語第,30
5,略譜,93,保物語,60,窠禾本譜,51,:宇津保物,30
6,物語,92,催馬楽,56,撫箏雅譜,40,六調子曲譜,29
7,錦窠,92,錦窠禾,51,六調子曲,36,錦窠羊歯譜,27
8,平曲,87,窠禾本,51,箏雅譜集,32,窠禾本譜2,26
9,譜本,84,禾本譜,51,保物語第,30,禾本譜23,26
10,譜略,81,仮名譜,50,:宇津保,30,本譜23巻,26
11,竜笛,76,鳳笙譜,45,八雲琴譜,29,譜23巻付,26
12,音楽,76,撫箏雅,41,調子曲譜,29,23巻付2,26
13,譜2,75,箏雅譜,40,金生樹譜,28,3巻付2巻,26
14,笛譜,73,六調子,40,金工名譜,27,譜嫁入雛形,20
15,琵琶,70,蘇合香,36,錦窠羊歯,27,織田信長譜,18
16,催馬,67,調子曲,36,窠羊歯譜,27,江都金工名,17
17,仮名,66,／他四,36,禾本譜2,26,都金工名譜,17
18,鳳笙,66,雅譜集,35,本譜23,26,金生樹譜別,16
19,謡本,65,目八譜,34,譜23巻,26,生樹譜別録,16
20,箏譜,64,物語第,30,23巻付,26,粟嶋譜嫁入,16
21,本譜,63,:宇津,30,3巻付2,26,嶋譜嫁入雛,16
22,笙譜,61,工名譜,30,巻付2巻,26,竜笛仮名譜,16
23,調子,61,八雲琴,30,鏨工譜略,24,竜笛要録譜,15
24,宇津,60,古瓦譜,29,東皐琴譜,23,暗射指南譜,12
25,津保,60,雅楽譜,29,どどいつ,23,書画人名譜,12
26,保物,60,雲琴譜,29,譜嫁入雛,20,'北平牋譜,12
27,馬楽,56,子曲譜,29,嫁入雛形,20,保物語第１,11
28,雅譜,52,鏨工譜,29,吾嬬箏譜,20,上:宇津保,11
29,窠禾,51,金生樹,28,譜伝実録,20,保物語第２,11
30,禾本,51,生樹譜,28,織田信長,18,下:宇津保,11
31,譜／,50,金工名,27,田信長譜,18,皇帝破陣楽,11
32,日本,49,錦窠羊,27,和漢研譜,18,大窪動物譜,11
33,3巻,49,窠羊歯,27,江都金工,17,康濟譜25,11
34,役者,49,羊歯譜,27,都金工名,17,濟譜25卷,11
35,秘譜,47,琵琶譜,27,笛要録譜,17,書画落款譜,11
36,譜》,46,万秋楽,26,竜笛仮名,17,［森寺温故,11
37,譜集,45,本譜2,26,笛仮名譜,17,森寺温故］,11
38,之譜,45,譜23,26,〔謡本〕,17,寺温故］森,11
39,篳篥,43,23巻,26,生樹譜別,16,温故］森寺,11
40,神楽,43,3巻付,26,樹譜別録,16,故］森寺藩,11
41,撫箏,42,巻付2,26,粟嶋譜嫁,16,］森寺藩臣,11
42,六調,42,付2巻,26,嶋譜嫁入,16,森寺藩臣譜,11
43,箏雅,41,謡本〕,26,竜笛要録,15,寺藩臣譜系,11
44,本〕,41,篳篥譜,24,けいせい,15,譜伝実録1,11
45,2巻,40,工譜略,24,魏氏楽譜,13,釋迦譜要略,10
46,蘇合,39,躑躅譜,23,催馬楽譜,13,菅原伝授手,10
47,歌譜,39,東皐琴,23,帝王譜略,13,原伝授手習,10
48,／他,39,皐琴譜,23,森寺温故,13,伝授手習鑑,10
49,合戦,38,どどい,23,世流謡本,13,古梅園墨譜,10
50,八譜,37,どいつ,23,暗射指南,12,蘇合香万秋,10
51,雅楽,36,譜嫁入,20,射指南譜,12,合香万秋楽,10
52,合香,36,嫁入雛,20,よしこの,12,帝王譜略国,10
53,高麗,36,入雛形,20,書画人名,12,王譜略国朝,10
54,子曲,36,要録譜,20,画人名譜,12,北詞広正譜,10
55,他四,36,笛仮名,20,音楽問答,12,詞広正譜巻,10
56,うた,35,吾嬬箏,20,律呂新書,12,名手本忠臣,9
57,目八,34,嬬箏譜,20,'北平牋,12,弘法大師弟,9
58,案譜,34,譜伝実,20,北平牋譜,12,法大師弟子,9
59,律呂,34,伝実録,20,迦譜要略,11,大師弟子譜,9
60,問答,32,信長譜,19,物語第１,11,清書画人名,9
61,八雲,31,神楽歌,19,上:宇津,11,譜略国朝紀,9
62,要録,31,織田信,18,物語第２,11,救荒本草救,9
63,子譜,31,田信長,18,下:宇津,11,荒本草救荒,9
64,語第,30,譜2卷,18,玉堂琴譜,11,本草救荒埜,9
65,:宇,30,譜別録,18,皇帝破陣,11,草救荒埜譜,9
66,工名,30,和漢研,18,帝破陣楽,11,救荒埜譜巻,9
67,瓦譜,30,漢研譜,18,大窪動物,11,荒埜譜巻之,9
68,雲琴,30,太平記,18,窪動物譜,11,躑躅譜3巻,8
