Rank,Last2 (例:家譜),Last3 (例:諸家譜),Last4 (例:徳川家譜),Last5
1,曲譜 (186),平曲譜 (79),窠禾本譜 (51),錦窠禾本譜 (51)
2,琴譜 (162),禾本譜 (51),撫箏雅譜 (40),六調子曲譜 (29)
3,楽譜 (139),仮名譜 (50),八雲琴譜 (29),錦窠羊歯譜 (27)
4,名譜 (125),鳳笙譜 (44),調子曲譜 (29),織田信長譜 (18)
5,略譜 (93),箏雅譜 (40),金生樹譜 (28),都金工名譜 (17)
6,笛譜 (72),目八譜 (34),金工名譜 (27),竜笛仮名譜 (16)
7,箏譜 (64),工名譜 (30),窠羊歯譜 (27),竜笛要録譜 (15)
8,本譜 (63),古瓦譜 (29),東皐琴譜 (23),暗射指南譜 (12)
9,笙譜 (60),雅楽譜 (29),吾嬬箏譜 (20),書画人名譜 (12)
10,雅譜 (52),雲琴譜 (29),田信長譜 (18),大窪動物譜 (11)
11,秘譜 (45),子曲譜 (29),和漢研譜 (18),書画落款譜 (11)
12,之譜 (45),鏨工譜 (29),笛要録譜 (17),森寺藩臣譜 (11)
13,八譜 (37),生樹譜 (28),笛仮名譜 (17),古梅園墨譜 (10)
14,歌譜 (37),羊歯譜 (27),魏氏楽譜 (13),北詞広正譜 (10)
15,案譜 (34),琵琶譜 (27),催馬楽譜 (13),大師弟子譜 (9)
16,瓦譜 (30),篳篥譜 (24),射指南譜 (12),鐘梅枝伝譜 (8)
17,工譜 (30),躑躅譜 (23),画人名譜 (12),江増写真譜 (8)
18,物譜 (29),皐琴譜 (23),北平牋譜 (12),梅山種茶譜 (7)
19,舞譜 (29),要録譜 (20),玉堂琴譜 (11),韻勝園梅譜 (7)
20,研譜 (28),嬬箏譜 (20),窪動物譜 (11),五知齋琴譜 (7)
21,篥譜 (28),信長譜 (19),錦窠蟹譜 (11),米庵蔵筆譜 (7)
22,樹譜 (28),漢研譜 (18),画落款譜 (11),盤渉調曲譜 (7)
23,歯譜 (27),調曲譜 (18),寺藩臣譜 (11),催馬楽略譜 (7)
24,子譜 (27),帝王譜 (17),梅枝伝譜 (10),西皮工尺譜 (7)
25,琶譜 (27),指南譜 (17),梅園墨譜 (10),本撰釋迦譜 (6)
26,樂譜 (27),和琴譜 (17),詞広正譜 (10),十一世支譜 (6)
27,脈譜 (25),人参譜 (16),師弟子譜 (9),字五音韻譜 (6)
28,躅譜 (23),粟嶋譜 (16),曲仮名譜 (9),訂撫箏雅譜 (6)
29,鼓譜 (23),仮面譜 (15),救荒埜譜 (9),子曲仮名譜 (6)
30,御譜 (22),人名譜 (15),葵氏艶譜 (8),町遊女名譜 (6)
31,墨譜 (21),工尺譜 (15),薬草略譜 (8),纐纈紺屋譜 (6)
