Rank,Last2 (1字+譜),Last3 (2字+譜),Last4 (3字+譜),Last5 (4字+譜),Last6 (5字+譜),Last7 (6字+譜),Last8 (7字+譜),Last9 (8字+譜)
1,曲譜 (186),平曲譜 (79),撫箏雅譜 (40),六調子曲譜 (29),増訂撫箏雅譜 (6),六調子曲仮名譜 (6),蘇合香三帖破急譜 (3),譜並大嘗会田舞歌譜 (2)
2,琴譜 (162),仮名譜 (50),八雲琴譜 (29),竜笛仮名譜 (16),調子曲仮名譜 (6),蘇合香万秋楽譜 (4),六調子及高麗曲譜 (3),蘇合香万秋楽仮名譜 (2)
3,楽譜 (139),鳳笙譜 (44),調子曲譜 (29),竜笛要録譜 (15),催馬楽附物譜 (4),蘇合香一具訳譜 (3),大曲蘇合香竜笛譜 (2),下只拍子譜并三皷譜 (2)
4,笛譜 (72),箏雅譜 (40),東皐琴譜 (23),北詞広正譜 (10),合香万秋楽譜 (4),合香三帖破急譜 (3),森田流外能楽笛譜 (2),万歳楽鳥破只拍子譜 (2)
5,名譜 (67),雅楽譜 (29),吾嬬箏譜 (20),五知齋琴譜 (7),万秋楽仮名譜 (4),調子及高麗曲譜 (3),有俊卿催馬楽秘譜 (2),調々子譜及催馬楽譜 (2)
6,略譜 (66),雲琴譜 (29),笛要録譜 (17),盤渉調曲譜 (7),合香一具訳譜 (3),竜笛延只拍子譜 (3),並大嘗会田舞歌譜 (2),万秋楽春鶯囀皇麞譜 (2)
7,箏譜 (64),子曲譜 (29),笛仮名譜 (17),催馬楽略譜 (7),楽曲考鳳笙譜 (3),楽春鶯囀皇麞譜 (3),蘇合香一具仮名譜 (2),香及黄鐘調盤渉調譜 (2)
8,笙譜 (60),鏨工譜 (29),魏氏楽譜 (13),西皮工尺譜 (7),京江睦氏支譜 (3),曲蘇合香竜笛譜 (2),合香万秋楽仮名譜 (2),文音對捷要真伝琴譜 (2)
9,雅譜 (52),琵琶譜 (27),催馬楽譜 (13),訂撫箏雅譜 (6),神楽催馬楽譜 (3),田流外能楽笛譜 (2),只拍子譜并三皷譜 (2),囀万秋楽口伝仮名譜 (1)
10,秘譜 (45),篳篥譜 (24),玉堂琴譜 (11),子曲仮名譜 (6),和歌披講之譜 (3),俊卿催馬楽秘譜 (2),歳楽鳥破只拍子譜 (2),破陣楽団乱旋復訳譜 (1)
11,之譜 (40),皐琴譜 (23),詞広正譜 (10),篳篥仮名譜 (5),散楽肩鼓之譜 (3),大嘗会田舞歌譜 (2),々子譜及催馬楽譜 (2),破陣楽団乱旋竜笛譜 (1)
12,歌譜 (37),要録譜 (20),曲仮名譜 (9),馬楽附物譜 (4),香三帖破急譜 (3),合香一具仮名譜 (2),秋楽春鶯囀皇麞譜 (2),破陣楽団乱旋篳篥譜 (1)
13,案譜 (34),嬬箏譜 (20),万秋楽譜 (8),香万秋楽譜 (4),子及高麗曲譜 (3),香万秋楽仮名譜 (2),雙調曲及延喜楽譜 (2),馬楽歌曲相伝書並譜 (1)
14,工譜 (30),調曲譜 (18),只拍子譜 (8),及高麗曲譜 (4),笛延只拍子譜 (3),拍子譜并三皷譜 (2),及黄鐘調盤渉調譜 (2),上原石上流泉啄木譜 (1)
15,舞譜 (29),帝王譜 (17),催馬樂譜 (8),秋楽仮名譜 (4),春鶯囀皇麞譜 (3),楽鳥破只拍子譜 (2),音對捷要真伝琴譜 (2),孝道朝臣自筆琵琶譜 (1)
16,篥譜 (28),和琴譜 (17),知齋琴譜 (7),時宗要略譜 (4),皇帝破陣楽譜 (2),子譜及催馬楽譜 (2),鳳笙五十五曲之譜 (2),殿百拍子以下秘説譜 (1)
17,琶譜 (27),粟嶋譜 (16),新撰楽譜 (7),採桑老舞譜 (4),蘇合香竜笛譜 (2),壱越調平調曲譜 (2),琵琶弾法口伝秘譜 (2),神楽催馬楽和琴古譜 (1)
18,樂譜 (27),工尺譜 (15),渉調曲譜 (7),円頓戒脈譜 (4),御文庫之秘譜 (2),諸調子品橃合譜 (2),祝詞之次第笛之譜 (2),合香万秋楽宗明楽譜 (1)
19,鼓譜 (23),竜笛譜 (14),楽仮名譜 (7),香一具訳譜 (3),流外能楽笛譜 (2),高麗竜外五曲譜 (2),小金原御狩太鼓譜 (2),承和楽打球楽仮名譜 (1)
20,録譜 (20),横笛譜 (14),箏曲新譜 (7),曲考鳳笙譜 (3),伏見宮琵琶譜 (2),調曲及延喜楽譜 (2),万秋楽口伝仮名譜 (1),曲及催馬楽高麗楽譜 (1)
21,王譜 (19),氏楽譜 (13),馬楽略譜 (7),榧園泉貨譜 (3),琵琶懐中秘譜 (2),黄鐘調盤渉調譜 (2),春鶯囀万秋楽本譜 (1),序三台破西王楽破譜 (1)
22,子譜 (18),馬楽譜 (13),皮工尺譜 (7),江睦氏支譜 (3),卿催馬楽秘譜 (2),對捷要真伝琴譜 (2),陣楽団乱旋復訳譜 (1),楽塩承和楽十天楽譜 (1)
23,書譜 (17),堂琴譜 (12),吾妻箏譜 (6),古渡更紗譜 (3),鳥名子舞歌譜 (2),笙五十五曲之譜 (2),団乱旋校合竜笛譜 (1),越調平調盤渉調曲譜 (1)
24,古譜 (17),曲秘譜 (11),朗詠案譜 (6),楽催馬楽譜 (3),鳳凰管要略譜 (2),十五名万秋楽譜 (2),陣楽団乱旋竜笛譜 (1),高麗曲並六調子曲譜 (1)
25,御譜 (16),秘曲譜 (10),蘇合香譜 (6),催馬楽箏譜 (3),嘗会田舞歌譜 (2),琶弾法口伝秘譜 (2),陣楽団乱旋篳篥譜 (1),破陣楽春鶯囀皇麞譜 (1)
26,物譜 (16),要略譜 (10),高麗楽譜 (6),歌披講之譜 (3),香一具仮名譜 (2),観生居月琴詞譜 (2),元亀年中公武略譜 (1),楽団乱旋陵王荒序譜 (1)
27,嶋譜 (16),広正譜 (10),清風雅譜 (6),松風閣琴譜 (3),調大食調曲譜 (2),詞之次第笛之譜 (2),楽歌曲相伝書並譜 (1),調盤渉調大食調曲譜 (1)
28,尺譜 (15),太鼓譜 (9),琴工尺譜 (6),撥合調子譜 (3),子譜并三皷譜 (2),催馬楽附物案譜 (2),原石上流泉啄木譜 (1),之内宮内正祝権祝譜 (1)
29,新譜 (14),笛之譜 (9),南山小譜 (5),高麗仮名譜 (3),鳥破只拍子譜 (2),金原御狩太鼓譜 (2),道朝臣自筆琵琶譜 (1),刊正文対音捷要琴譜 (1)
