Rank,Bi-gram,Bi-Count,Tri-gram,Tri-Count,Tetra-gram,Tetra-Count,Penta-gram,Penta-Count
1,図譜,202,平曲譜,79,平曲譜本,77,撫箏雅譜集,32
2,曲譜,181,曲譜本,79,撫箏雅譜,40,六調子曲譜,29
3,琴譜,154,催馬楽,56,六調子曲,36,観世左近太,21
4,楽譜,143,仮名譜,50,箏雅譜集,32,世左近太夫,21
5,略譜,98,鳳笙譜,46,八雲琴譜,29,左近太夫正,21
6,平曲,87,撫箏雅,41,調子曲譜,29,近太夫正本,21
7,音楽,85,箏雅譜,40,東皐琴譜,23,譜嫁入雛形,20
8,譜本,84,六調子,40,どどいつ,23,粟嶋譜嫁入,16
9,名譜,75,蘇合香,36,鏨工譜略,21,嶋譜嫁入雛,16
10,竜笛,75,調子曲,36,観世左近,21,竜笛仮名譜,16
11,琵琶,72,／他四,36,世左近太,21,竜笛要録譜,15
12,笛譜,71,雅譜集,35,左近太夫,21,菅原伝授手,13
13,譜略,70,八雲琴,30,近太夫正,21,原伝授手習,13
14,仮名,68,雅楽譜,29,太夫正本,21,伝授手習鑑,13
15,鳳笙,67,雲琴譜,29,譜嫁入雛,20,皇帝破陣楽,11
16,謡本,65,子曲譜,29,嫁入雛形,20,康濟譜25,11
17,譜2,62,琵琶譜,27,譜伝実録,20,濟譜25卷,11
18,笙譜,62,万秋楽,26,笛要録譜,17,名手本忠臣,11
19,催馬,62,謡本〕,26,竜笛仮名,17,譜伝実録1,11
20,調子,61,譜2卷,24,笛仮名譜,17,類箏治要2,11
21,箏譜,57,篳篥譜,24,〔謡本〕,17,箏治要20,11
22,馬楽,56,鏨工譜,24,粟嶋譜嫁,16,治要20巻,11
23,雅譜,54,東皐琴,23,嶋譜嫁入,16,太夫正本1,11
24,譜／,53,皐琴譜,23,竜笛要録,15,釋迦譜要略,10
25,秘譜,50,古押譜,23,けいせい,15,暗射指南譜,10
26,圖譜,49,どどい,23,催馬楽譜,14,蘇合香万秋,10
27,日本,48,どいつ,23,菅原伝授,13,合香万秋楽,10
28,世譜,48,工譜略,21,原伝授手,13,箏曲大意抄,10
29,之譜,47,観世左,21,伝授手習,13,北詞広正譜,10
30,正本,46,世左近,21,授手習鑑,13,詞広正譜巻,10
31,譜》,46,左近太,21,吾嬬箏譜,13,浪華擷芳譜,9
32,役者,46,近太夫,21,世流謡本,13,奥州安達原,9
33,譜集,44,太夫正,21,手本忠臣,12,仮名手本忠,9
34,篳篥,43,夫正本,21,音楽問答,12,大津絵ぶし,9
35,石譜,42,百菊譜,20,類箏治要,12,書画落款譜,9
36,合戦,42,譜嫁入,20,律呂新書,12,救荒本草救,9
37,撫箏,42,嫁入雛,20,迦譜要略,11,荒本草救荒,9
38,六調,42,入雛形,20,玉堂琴譜,11,本草救荒埜,9
39,箏雅,41,要録譜,20,皇帝破陣,11,草救荒埜譜,9
40,神楽,41,笛仮名,20,帝破陣楽,11,救荒埜譜巻,9
41,本〕,41,譜伝実,20,錦窠蟹譜,11,荒埜譜巻之,9
42,観世,40,伝実録,20,康濟譜2,11,古押譜6巻,8
