Rank,Last2 (1字+譜),Last3 (2字+譜),Last4 (3字+譜),Last5 (4字+譜),Last6 (5字+譜),Last7 (6字+譜),Last8 (7字+譜),Last9 (8字+譜)
1,曲譜 (185),平曲譜 (79),撫箏雅譜 (40),六調子曲譜 (29),増訂撫箏雅譜 (6),六調子曲仮名譜 (6),蘇合香三帖破急譜 (3),譜並大嘗会田舞歌譜 (2)
2,琴譜 (161),仮名譜 (50),八雲琴譜 (29),竜笛仮名譜 (16),調子曲仮名譜 (6),蘇合香万秋楽譜 (4),六調子及高麗曲譜 (3),蘇合香万秋楽仮名譜 (2)
3,楽譜 (139),鳳笙譜 (44),調子曲譜 (29),竜笛要録譜 (15),催馬楽附物譜 (4),蘇合香一具訳譜 (3),祝詞之次第笛之譜 (3),下只拍子譜并三皷譜 (2)
4,略譜 (97),箏雅譜 (40),東皐琴譜 (23),韻勝園梅譜 (7),合香万秋楽譜 (4),合香三帖破急譜 (3),森野桂叢草木葉譜 (2),万歳楽鳥破只拍子譜 (2)
5,名譜 (73),雅楽譜 (29),吾嬬箏譜 (20),五知齋琴譜 (7),万秋楽仮名譜 (4),調子及高麗曲譜 (3),大曲蘇合香竜笛譜 (2),調々子譜及催馬楽譜 (2)
6,笛譜 (71),雲琴譜 (29),笛要録譜 (17),盤渉調曲譜 (7),梅道人墨竹譜 (4),竜笛延只拍子譜 (3),森田流外能楽笛譜 (2),万秋楽春鶯囀皇麞譜 (2)
7,箏譜 (64),子曲譜 (29),笛仮名譜 (17),催馬楽略譜 (7),合香一具訳譜 (3),楽春鶯囀皇麞譜 (3),柳瀬合戦前後略譜 (2),香及黄鐘調盤渉調譜 (2)
8,笙譜 (60),琵琶譜 (27),魏氏楽譜 (13),西皮工尺譜 (7),楽曲考鳳笙譜 (3),詞之次第笛之譜 (3),有俊卿催馬楽秘譜 (2),文音對捷要真伝琴譜 (2)
9,雅譜 (52),篳篥譜 (24),催馬楽譜 (13),訂撫箏雅譜 (6),京江睦氏支譜 (3),野桂叢草木葉譜 (2),並大嘗会田舞歌譜 (2),楽祝詞之次第笛之譜 (2)
10,秘譜 (48),皐琴譜 (23),玉堂琴譜 (11),子曲仮名譜 (6),血脈道統之譜 (3),錦窠穀精草科譜 (2),蘇合香一具仮名譜 (2),囀万秋楽口伝仮名譜 (1)
11,之譜 (46),要録譜 (20),曲仮名譜 (9),纐纈紺屋譜 (6),説文解字韻譜 (3),曲蘇合香竜笛譜 (2),合香万秋楽仮名譜 (2),破陣楽団乱旋復訳譜 (1)
12,竹譜 (43),嬬箏譜 (20),救荒埜譜 (9),篳篥仮名譜 (5),神楽催馬楽譜 (3),地本錦絵問屋譜 (2),只拍子譜并三皷譜 (2),破陣楽団乱旋国字譜 (1)
13,歌譜 (38),調曲譜 (18),薬草略譜 (8),馬楽附物譜 (4),和歌披講之譜 (3),田流外能楽笛譜 (2),歳楽鳥破只拍子譜 (2),破陣楽団乱旋竜笛譜 (1)
14,案譜 (33),人参譜 (16),南海包譜 (8),香万秋楽譜 (4),合戦前後略譜 (3),瀬合戦前後略譜 (2),々子譜及催馬楽譜 (2),破陣楽団乱旋篳篥譜 (1)
15,舞譜 (29),粟嶋譜 (16),群賢押譜 (8),活語断続譜 (4),雪下園画梅譜 (3),俊卿催馬楽秘譜 (2),秋楽春鶯囀皇麞譜 (2),磨国竜野城主歴代譜 (1)
16,篥譜 (28),和琴譜 (16),帝皇略譜 (8),及高麗曲譜 (4),散楽肩鼓之譜 (3),大嘗会田舞歌譜 (2),雙調曲及延喜楽譜 (2),馬楽歌曲相伝書並譜 (1)
17,琶譜 (27),仮面譜 (15),万秋楽譜 (8),秋楽仮名譜 (4),香三帖破急譜 (3),合香一具仮名譜 (2),及黄鐘調盤渉調譜 (2),伝正統血脈道統之譜 (1)
18,御譜 (25),工尺譜 (15),新撰楽譜 (8),時宗要略譜 (4),子及高麗曲譜 (3),香万秋楽仮名譜 (2),音對捷要真伝琴譜 (2),春秋経伝長暦指掌譜 (1)
19,樂譜 (23),竜笛譜 (14),只拍子譜 (8),採桑老舞譜 (4),笛延只拍子譜 (3),拍子譜并三皷譜 (2),鳳笙五十五曲之譜 (2),湫柳瀬合戦前後略譜 (1)
20,鼓譜 (21),氏楽譜 (13),葵氏艶譜 (7),道人墨竹譜 (4),春鶯囀皇麞譜 (3),楽鳥破只拍子譜 (2),琵琶弾法口伝秘譜 (2),上原石上流泉啄木譜 (1)
