Rank,Last2 (1字+譜),Last3 (2字+譜),Last4 (3字+譜),Last5 (4字+譜),Last6 (5字+譜),Last7 (6字+譜),Last8 (7字+譜),Last9 (8字+譜)
1,系譜 (1369),諸家譜 (689),修諸家譜 (682),重修諸家譜 (682),政重修諸家譜 (682),寛政重修諸家譜 (682),歴代帝王姓系統譜 (115),卷歴代帝王姓系統譜 (92)
2,画譜 (1278),家系譜 (404),諸士系譜 (364),王姓系統譜 (115),帝王姓系統譜 (115),代帝王姓系統譜 (115),越州山陰高氏家譜 (31),0歴代帝王姓系統譜 (23)
3,家譜 (1196),士系譜 (367),本草図譜 (260),如亭群芳譜 (59),二如亭群芳譜 (59),博愛堂集古印譜 (47),改正増補諸家知譜 (29),宋淳煕敕編古玉圖譜 (18)
4,図譜 (610),草図譜 (261),諸家系譜 (179),錦窠禾本譜 (51),愛堂集古印譜 (47),州山陰高氏家譜 (31),八旗滿洲氏族通譜 (25),2卷附寒松老人年譜 (15)
5,印譜 (501),藩翰譜 (153),姓系統譜 (115),堂集古印譜 (47),絵本問屋印譜 (43),正増補諸家知譜 (29),本草綱目啓蒙図譜 (23),集卷下外集2卷年譜 (10)
6,年譜 (432),氏宗譜 (129),花鳥画譜 (77),本問屋印譜 (43),梅園草木花譜 (38),旗滿洲氏族通譜 (25),淳煕敕編古玉圖譜 (18),全城章氏南徐派宗譜 (9)
7,魚譜 (244),系統譜 (116),諸家知譜 (67),園草木花譜 (38),蕭山傅氏宗譜 (38),草綱目啓蒙図譜 (23),卷附寒松老人年譜 (15),巻補遺1巻救荒野譜 (9)
8,曲譜 (181),斎画譜 (111),錦窠魚譜 (65),山傅氏宗譜 (38),楳嶺花鳥画譜 (33),煕敕編古玉圖譜 (18),前田土佐守家家譜 (15),占風園四時勝概画譜 (7)
9,翰譜 (155),鳥画譜 (92),亭群芳譜 (60),嶺花鳥画譜 (34),八旗氏族通譜 (32),附寒松老人年譜 (15),草木花実写真図譜 (13),陽汪氏九十一世支譜 (6)
10,禽譜 (153),御系譜 (90),氏族通譜 (57),旗氏族通譜 (32),江都卞氏族譜 (31),田土佐守家家譜 (15),水戸威義二公年譜 (11),氏説文解字五音韻譜 (6)
11,琴譜 (153),氏系譜 (86),黒田家譜 (56),都卞氏族譜 (31),山陰高氏家譜 (31),木花実写真図譜 (13),伝神開手一筆画譜 (11),竜宝山大徳禅寺世譜 (6)
12,統譜 (151),平曲譜 (79),集古印譜 (53),陰高氏家譜 (31),増補諸家知譜 (30),戸威義二公年譜 (11),卷下外集2卷年譜 (10),三拾六歌仙貝合画譜 (5)
13,宗譜 (144),田家譜 (74),窠禾本譜 (51),補諸家知譜 (30),花壇叢木画譜 (28),大日本美術図譜 (11),城章氏南徐派宗譜 (9),府歸安縣市鎭氏宗譜 (5)
14,楽譜 (143),古印譜 (68),錦窠禽譜 (47),六調子曲譜 (29),滿洲氏族通譜 (25),神開手一筆画譜 (11),新鐫六言唐詩畫譜 (9),似顔大全中村家系譜 (4)
15,畫譜 (135),家知譜 (67),将軍家譜 (47),壇叢木画譜 (28),綱目啓蒙図譜 (23),下外集2卷年譜 (10),張白雲選名公扇譜 (9),似顔大全高島家系譜 (4)
16,花譜 (120),御年譜 (66),先生年譜 (46),錦窠羊歯譜 (27),古今萬姓統譜 (23),新鐫草本花詩譜 (10),新鐫梅竹蘭菊四譜 (9),顔大全小佐川家系譜 (4)
17,名譜 (107),窠魚譜 (65),日東魚譜 (46),洲氏族通譜 (25),佩文斎書画譜 (21),新鐫木本花鳥譜 (10),補遺1巻救荒野譜 (9),似顔大全吾妻家系譜 (4)
18,虫譜 (101),氏族譜 (64),傅氏宗譜 (44),言唐詩畫譜 (25),京都将軍家譜 (20),章氏南徐派宗譜 (9),新鐫七言唐詩畫譜 (8),似顔大全中島家系譜 (4)
19,略譜 (100),軍家譜 (61),問屋印譜 (43),倭人物画譜 (23),鎌倉将軍家譜 (19),藤垣内翁略年譜 (9),唐解元倣古今畫譜 (8),源秀康卿行状並系譜 (4)
20,菌譜 (87),群芳譜 (60),北越雪譜 (42),目啓蒙図譜 (23),万物雛形画譜 (18),鐫六言唐詩畫譜 (9),新鐫五言唐詩畫譜 (8),紫川館蔵書画落款譜 (4)
21,竹譜 (86),氏家譜 (58),撫箏雅譜 (40),今萬姓統譜 (23),敕編古玉圖譜 (18),白雲選名公扇譜 (9),本草鳥獣魚貝図譜 (7),州太守大慈院君年譜 (4)
22,芳譜 (81),族通譜 (57),救荒野譜 (39),文斎書画譜 (21),洪洞劉氏宗譜 (17),鐫梅竹蘭菊四譜 (9),風園四時勝概画譜 (7),具組合会釈器物名譜 (3)
23,族譜 (77),山画譜 (54),北斎画譜 (38),寒葉斎画譜 (20),北斎道中画譜 (16),遺1巻救荒野譜 (9),蕭山漁臨華氏宗譜 (7),旧儀装飾十六式図譜 (3)
24,押譜 (73),禾本譜 (51),草木花譜 (38),家金銀銭譜 (20),国家金銀銭譜 (15),伊達家世臣家譜 (8),宝山大徳禅寺世譜 (7),陽軍鑑合戦之巻畧譜 (3)
25,銭譜 (73),仮名譜 (50),一蝶画譜 (34),都将軍家譜 (20),寒松老人年譜 (15),鐫七言唐詩畫譜 (8),把而翕湮解剖図譜 (6),沖縄県下先島草木譜 (3)
26,笛譜 (70),窠禽譜 (47),人物画譜 (34),白香山年譜 (20),土佐守家家譜 (15),解元倣古今畫譜 (8),蕭山馬湖傅氏宗譜 (6),圖本朝尊卑分脉系譜 (3)
27,知譜 (67),生年譜 (46),栗氏魚譜 (32),物雛形画譜 (19),藤樹先生年譜 (14),鐫五言唐詩畫譜 (8),汪氏九十一世支譜 (6),優似顔大全嵐家系譜 (2)
28,圖譜 (66),東魚譜 (46),山水画譜 (31),宋紫石画譜 (19),江都金工名譜 (13),草鳥獣魚貝図譜 (7),説文解字五音韻譜 (6),優似顔大全実川系譜 (2)
29,通譜 (61),鳳笙譜 (45),有職図譜 (31),織田信長譜 (19),花実写真図譜 (13),園四時勝概画譜 (7),銅脈先生狂詩画譜 (5),似顔大全惣領家系譜 (2)
30,笙譜 (60),屋印譜 (44),卞氏族譜 (31),豊臣秀吉譜 (19),蕭山何氏宗譜 (13),山漁臨華氏宗譜 (7),拾六歌仙貝合画譜 (5),似顔大全山下家系譜 (2)
31,本譜 (59),筆画譜 (43),高氏家譜 (31),倉将軍家譜 (19),花卉介虫図譜 (11),山大徳禅寺世譜 (7),歸安縣市鎭氏宗譜 (5),似顔大全藤川家系譜 (2)
32,箏譜 (57),越雪譜 (42),名家画譜 (30),池田氏系譜 (19),月旦衆評泉譜 (11),大日本撰釋迦譜 (6),休寧西門汪氏族譜 (5),伊勢国朝明郡内菌譜 (2)
33,雅譜 (54),千虫譜 (40),調子曲譜 (29),博物館魚譜 (19),威義二公年譜 (11),而翕湮解剖図譜 (6),定興鹿氏續修家譜 (5),吉田平九郎先生介譜 (2)
34,世譜 (48),箏雅譜 (40),名数画譜 (28),編古玉圖譜 (18),陽川孫氏宗譜 (11),山馬湖傅氏宗譜 (6),潤州曹氏重修宗譜 (5),類鰈鮫類漁貝類図譜 (2)
35,雪譜 (47),物画譜 (39),金生樹譜 (28),洞劉氏宗譜 (17),鈴屋翁略年譜 (11),氏九十一世支譜 (6),天瓢斎書画落款譜 (5),日光産木類写生図譜 (2)
36,秘譜 (46),荒野譜 (39),叢木画譜 (28),斎道中画譜 (16),名人蘭竹画譜 (11),無間鐘梅枝伝譜 (6),顔大全中村家系譜 (4),井光村伊藤起立系譜 (2)
37,蘭譜 (46),公年譜 (39),八雲琴譜 (28),竜笛仮名譜 (16),弘法大師年譜 (11),文解字五音韻譜 (6),顔大全高島家系譜 (4),林谷山人帰去来印譜 (2)
38,之譜 (46),木花譜 (38),公御年譜 (28),松老人年譜 (15),梅竹蘭菊四譜 (11),弘法大師弟子譜 (6),大全小佐川家系譜 (4),譜並大嘗会田舞歌譜 (2)
39,泉譜 (45),花押譜 (36),道中画譜 (27),竜笛要録譜 (15),日本美術図譜 (11),六調子曲仮名譜 (6),顔大全吾妻家系譜 (4),蘇合香万秋楽仮名譜 (2)
40,野譜 (44),木画譜 (35),錦窠菌譜 (27),佐守家家譜 (15),開手一筆画譜 (11),脈先生狂詩画譜 (5),顔大全中島家系譜 (4),下只拍子譜并三皷譜 (2)
41,八譜 (37),蝶画譜 (34),窠羊歯譜 (27),樹先生年譜 (14),玄対先生画譜 (10),六歌仙貝合画譜 (5),中村天王寺家系譜 (4),万歳楽鳥破只拍子譜 (2)
