Rank,Bi-gram,Bi-Count,Tri-gram,Tri-Count,Tetra-gram,Tetra-Count,Penta-gram,Penta-Count
1,曲譜,181,平曲譜,79,平曲譜本,77,撫箏雅譜集,32
2,琴譜,153,曲譜本,79,撫箏雅譜,40,六調子曲譜,29
3,楽譜,143,催馬楽,56,六調子曲,36,観世左近太,21
4,平曲,87,仮名譜,50,箏雅譜集,32,世左近太夫,21
5,譜本,84,鳳笙譜,46,調子曲譜,29,左近太夫正,21
6,音楽,84,撫箏雅,41,八雲琴譜,28,近太夫正本,21
7,略譜,82,箏雅譜,40,東皐琴譜,23,譜嫁入雛形,20
8,竜笛,75,六調子,40,どどいつ,23,粟嶋譜嫁入,16
9,琵琶,72,蘇合香,36,観世左近,21,嶋譜嫁入雛,16
10,笛譜,71,調子曲,36,世左近太,21,竜笛仮名譜,16
11,名譜,68,／他四,36,左近太夫,21,竜笛要録譜,15
12,仮名,68,雅譜集,35,近太夫正,21,菅原伝授手,13
13,鳳笙,67,雅楽譜,29,太夫正本,21,原伝授手習,13
14,謡本,65,八雲琴,29,譜嫁入雛,20,伝授手習鑑,13
15,笙譜,62,子曲譜,29,嫁入雛形,20,皇帝破陣楽,11
16,催馬,62,雲琴譜,28,笛要録譜,17,康濟譜25,11
17,調子,61,琵琶譜,27,竜笛仮名,17,濟譜25卷,11
18,箏譜,57,万秋楽,26,笛仮名譜,17,名手本忠臣,11
19,馬楽,56,謡本〕,26,〔謡本〕,17,類箏治要2,11
20,雅譜,54,譜2卷,24,粟嶋譜嫁,16,箏治要20,11
21,秘譜,48,篳篥譜,24,嶋譜嫁入,16,治要20巻,11
22,譜2,46,東皐琴,23,竜笛要録,15,太夫正本1,11
23,正本,46,皐琴譜,23,けいせい,15,蘇合香万秋,10
24,之譜,46,どどい,23,催馬楽譜,14,合香万秋楽,10
25,役者,46,どいつ,23,菅原伝授,13,箏曲大意抄,10
26,圖譜,45,観世左,21,原伝授手,13,北詞広正譜,10
27,譜／,44,世左近,21,伝授手習,13,詞広正譜巻,10
28,篳篥,43,左近太,21,授手習鑑,13,釋迦譜要略,9
29,合戦,42,近太夫,21,吾嬬箏譜,13,浪華擷芳譜,9
30,撫箏,42,太夫正,21,世流謡本,13,奥州安達原,9
31,六調,42,夫正本,21,手本忠臣,12,仮名手本忠,9
32,箏雅,41,百菊譜,20,音楽問答,12,大津絵ぶし,9
33,譜集,41,譜嫁入,20,類箏治要,12,撫箏雅譜大,8
34,神楽,41,嫁入雛,20,律呂新書,12,箏雅譜大成,8
35,本〕,41,入雛形,20,玉堂琴譜,11,雅譜大成抄,8
36,観世,40,要録譜,20,皇帝破陣,11,手本忠臣蔵,8
37,蘇合,39,笛仮名,20,帝破陣楽,11,小野道風青,8
38,／他,39,太平記,19,康濟譜2,11,野道風青柳,8
39,太夫,38,浄瑠璃,18,濟譜25,11,道風青柳硯,8
40,雅楽,37,竜笛要,18,譜25卷,11,どどいつ・,8
41,歌譜,37,竜笛仮,18,魏氏楽譜,11,神楽催馬楽,8
42,日本,36,調曲譜,18,名手本忠,11,觀世流謡本,8
43,菊譜,36,〔謡本,18,よしこの,11,梅山種茶譜,7
44,合香,36,節正本,17,箏治要2,11,韻勝園梅譜,7
45,高麗,36,笛要録,17,治要20,11,蘇合香一具,7
46,子曲,36,壱越調,17,要20巻,11,帝破陣楽団,7
47,譜》,36,大意抄,17,夫正本1,11,破陣楽団乱,7
48,他四,36,粟嶋譜,16,迦譜要略,10,陣楽団乱旋,7
49,うた,35,嶋譜嫁,16,説文解字,10,譜代家督留,7
50,物語,34,和琴譜,16,正燈世譜,10,百菊譜2巻,7
51,律呂,34,神楽歌,16,津絵ぶし,10,五知齋琴譜,7
52,案譜,33,盤渉調,16,蘇合香万,10,知齋琴譜8,7
53,問答,32,いせい,16,合香万秋,10,齋琴譜8卷,7
54,目録,31,流謡本,16,香万秋楽,10,神器譜5卷,7
55,世譜,31,仮面譜,15,只拍子譜,10,太平記忠臣,7
56,伝授,31,大津絵,15,箏曲大意,10,平記忠臣講,7
57,要録,31,楽問答,15,曲大意抄,10,記忠臣講釈,7
58,八雲,30,けいせ,15,北詞広正,10,本朝廿四孝,7
59,舞譜,30,竜笛譜,14,詞広正譜,10,どどいつ集,7
60,雲琴,29,本忠臣,14,広正譜巻,10,盤渉調曲譜,7
61,の段,29,馬楽譜,14,釋迦譜要,9,催馬楽略譜,7
62,秋楽,28,譜代家,13,浪華擷芳,9,大日本撰釋,6
63,篥譜,28,菅原伝,13,華擷芳譜,9,日本撰釋迦,6
64,忠臣,28,原伝授,13,支譜2卷,9,本撰釋迦譜,6
65,太鼓,28,伝授手,13,奥州安達,9,撰釋迦譜要,6
66,いつ,28,授手習,13,州安達原,9,山種茶譜略,6
67,2卷,27,手習鑑,13,仮名手本,9,平陽汪氏九,6
68,横笛,27,横笛譜,13,本忠臣蔵,9,陽汪氏九十,6
69,琶譜,27,いつ・,13,小野道風,9,汪氏九十一,6
70,万秋,26,只拍子,13,大津絵ぶ,9,氏九十一世,6
71,大成,26,吾嬬箏,13,音楽紀聞,9,九十一世支,6
72,朗詠,26,嬬箏譜,13,曲仮名譜,9,十一世支譜,6
73,箏曲,26,一節切,13,箏雅譜大,8,一世支譜2,6
74,要略,25,世流謡,13,雅譜大成,8,世支譜2卷,6
75,和琴,25,擷芳譜,12,譜大成抄,8,無間鐘梅枝,6
76,傾城,25,玉堂琴,12,野道風青,8,間鐘梅枝伝,6
77,譜略,24,堂琴譜,12,道風青柳,8,鐘梅枝伝譜,6
78,東皐,24,魏氏楽,12,風青柳硯,8,常磐津節正,6
79,どど,24,手本忠,12,どいつ・,8,磐津節正本,6
