Field Name,Record Count,Percentage (%)
@id,17908,100.0%
rdf:type,17908,100.0%
schema:name,17908,100.0%
https://jpsearch.go.jp/term/property#sourceInfo,17908,100.0%
status,17908,100.0%
rdfs:label,17908,100.0%
https://jpsearch.go.jp/term/property#accessInfo,17908,100.0%
schema:description,16593,92.7%
schema:inLanguage,8630,48.2%
schema:about,8033,44.9%
https://jpsearch.go.jp/term/property#agential,6788,37.9%
schema:creator,6035,33.7%
schema:temporal,5225,29.2%
https://jpsearch.go.jp/term/property#temporal,5225,29.2%
schema:image,4947,27.6%
schema:additionalType,3474,19.4%
schema:publisher,2653,14.8%
schema:dateCreated,2129,11.9%
https://jpsearch.go.jp/term/property#spatial,1683,9.4%
schema:spatial,1683,9.4%
schema:datePublished,1388,7.8%
schema:isPartOf,618,3.5%
schema:identifier,510,2.8%
schema:contributor,169,0.9%
schema:category,61,0.3%
schema:abstract,60,0.3%
https://jpsearch.go.jp/term/property#relatedLink,31,0.2%
schema:relatedLink,31,0.2%
schema:genre,8,0.0%
